^FINANCIAL,08/20/2020,1151.27,1151.27,1127.07,1130.94,522500,522500565.86
AUB,08/20/2020,45,45.1,45,45,356700,16051780
BDO,08/20/2020,91.85,91.95,88.55,89.05,2715500,242562285
BPI,08/20/2020,63.5,63.85,62.55,63.5,1785050,112938874
CHIB,08/20/2020,20.4,20.5,20.25,20.5,58400,1192860
EW,08/20/2020,8.14,8.15,8.07,8.15,807800,6570052
MBT,08/20/2020,36,36.2,34.7,34.7,2711800,95108995
PBB,08/20/2020,8.12,8.12,8.12,8.12,276700,2246804
PNB,08/20/2020,19.86,19.86,19.74,19.8,135800,2687760
RCB,08/20/2020,17,17,16.4,16.4,50000,830240
SECB,08/20/2020,98,98,96,96.5,413040,39887776
UBP,08/20/2020,54,54,53.8,53.95,7280,392426.5
BKR,08/20/2020,0.84,0.85,0.83,0.85,223000,185960
COL,08/20/2020,21.95,22.35,21.95,22.35,1400,30770
FERRO,08/20/2020,2.7,2.7,2.51,2.69,103000,267560
I,08/20/2020,0.99,0.99,0.99,0.99,1000,990
MED,08/20/2020,0.28,0.28,0.28,0.28,50000,14000
MFC,08/20/2020,760,760,760,760,20,15200
NRCP,08/20/2020,0.65,0.65,0.63,0.64,88000,55490
SLF,08/20/2020,1900,1920,1900,1915,755,1438350
^INDUSTRIAL,08/20/2020,7851.44,7851.44,7738.56,7792.26,933726,933726736.97
ACEN,08/20/2020,2.75,2.83,2.73,2.76,31037000,86226220
ACR,08/20/2020,1.28,1.3,1.27,1.29,2117000,2727250
AP,08/20/2020,25.8,25.8,25.3,25.8,336700,8635230
BSC,08/20/2020,0.16,0.163,0.16,0.16,1170000,187290
FGEN,08/20/2020,23.7,23.7,22.85,23.3,534800,12379765
FPH,08/20/2020,60,61,58.8,60.65,21500,1303642.5
MER,08/20/2020,273.4,273.4,266.2,270,221750,59683366
MWC,08/20/2020,13.1,13.6,13.02,13.6,4607200,61478434
PCOR,08/20/2020,3.09,3.1,3.08,3.1,231000,713810
PNX,08/20/2020,11.08,11.28,11.08,11.28,240900,2713312
SHLPH,08/20/2020,17.04,17.2,16.98,17.04,209500,3567240
SPC,08/20/2020,8.55,8.55,8.4,8.4,46800,395186
ANI,08/20/2020,7.9,7.95,7.65,7.83,80700,622398
AXLM,08/20/2020,2.49,2.53,2.38,2.42,2090000,5070680
CAT,08/20/2020,12.98,12.98,11.1,11.4,29900,335624
CNPF,08/20/2020,16.4,16.5,16,16.2,1716600,27754698
DELM,08/20/2020,5.04,5.04,4.97,4.99,102500,512186
DNL,08/20/2020,5.1,5.12,5.02,5.05,1345800,6825871
EMP,08/20/2020,10.1,10.1,9.88,10.1,745100,7434176
FB,08/20/2020,67.5,67.85,66.1,67.4,266000,17906164.5
FOOD,08/20/2020,0.65,0.66,0.65,0.66,453000,294620
FRUIT,08/20/2020,1.23,1.24,1.17,1.19,6361000,7572250
GSMI,08/20/2020,39,39.1,38.95,39.1,71600,2796330
JFC,08/20/2020,141.4,141.4,139.5,139.5,1407640,196522704
MACAY,08/20/2020,8.05,9.4,8.01,8.79,220800,1938439
MAXS,08/20/2020,4.9,4.9,4.61,4.7,552000,2607220
MG,08/20/2020,0.132,0.132,0.131,0.131,660000,86970
PIZZA,08/20/2020,5.8,5.86,5.5,5.55,1090000,6068608
RCI,08/20/2020,1.2,1.29,1.2,1.28,28683000,36400400
RFM,08/20/2020,4.44,4.44,4.4,4.4,6000,26440
SFI,08/20/2020,0.11,0.11,0.11,0.11,100000,11000
URC,08/20/2020,138.8,139,135.1,137.2,1609910,220743646
VITA,08/20/2020,0.78,0.78,0.77,0.78,969000,754330
VMC,08/20/2020,2.39,2.39,2.39,2.39,1000,2390
