^FINANCIAL,06/03/2021,1447.37,1448.81,1435.93,1445.29,495129,495129844.19
BDO,06/03/2021,106.2,106.6,105.1,105.2,1555300,164741662
BPI,06/03/2021,85.7,86,84.05,86,949230,81410122.5
CHIB,06/03/2021,24.2,24.4,23.95,23.95,84300,2027430
CSB,06/03/2021,6.89,6.89,6.89,6.89,1000,6890
EW,06/03/2021,9.78,9.79,9.58,9.59,123200,1186693
MBT,06/03/2021,48.6,49,48.6,49,2354300,115057810
PBB,06/03/2021,9.94,10.2,9.94,10.14,37200,376180
PBC,06/03/2021,20,20.95,20,20.95,600,12190
PNB,06/03/2021,23,23,22.25,22.65,1946100,44064200
PSB,06/03/2021,55,55.4,55,55.4,530,29330
RCB,06/03/2021,17.36,17.38,17.2,17.28,14000,242040
SECB,06/03/2021,125,126.2,123.1,126,535980,67208725
UBP,06/03/2021,75.15,75.2,75,75.2,23450,1762820.5
BKR,06/03/2021,1.26,1.26,1.25,1.25,15000,18850
COL,06/03/2021,4.02,4.05,4.02,4.04,56000,226260
FERRO,06/03/2021,3,3,3,3,1000,3000
I,06/03/2021,1.29,1.31,1.29,1.31,44000,57620
MED,06/03/2021,0.41,0.41,0.41,0.41,10000,4100
PSE,06/03/2021,191.3,210,191.3,207,79460,15861980
SLF,06/03/2021,2450,2450,2450,2450,310,759500
^INDUSTRIAL,06/03/2021,9098.79,9107.63,9038.99,9094.37,2761042,2761042379.33
ACEN,06/03/2021,7.5,7.54,7.45,7.54,15678900,117784808
ACR,06/03/2021,1.33,1.34,1.32,1.32,491000,649410
AP,06/03/2021,23.5,23.75,22.6,22.9,7846200,180684520
BSC,06/03/2021,0.83,0.85,0.81,0.82,17473000,14499070
FGEN,06/03/2021,30.5,31.8,30.5,31,1207400,37454125
FPH,06/03/2021,68.3,69.25,67.3,67.95,97770,6624999.5
MER,06/03/2021,285,285.4,280,284,148000,42094096
MWC,06/03/2021,14.7,14.88,14.7,14.84,1079900,16010092
PCOR,06/03/2021,3.19,3.2,3.17,3.18,1769000,5642500
PERC,06/03/2021,4.05,4.14,4.01,4.14,38000,154520
PNX,06/03/2021,13,13.1,12.76,13.08,77300,1006668
SHLPH,06/03/2021,20.8,20.85,20.65,20.7,574100,11915455
SPC,06/03/2021,11.4,11.62,11.38,11.6,953000,10951652
ANI,06/03/2021,6.4,6.42,6.23,6.39,3686600,23461592
AXLM,06/03/2021,3.02,3.04,3.02,3.04,84000,254290
CAT,06/03/2021,13.14,13.44,13.14,13.44,2700,35982
CNPF,06/03/2021,23.65,24.4,23.5,24.3,1120600,27132335
DELM,06/03/2021,14.28,14.5,14.26,14.4,172600,2482006
DNL,06/03/2021,7.8,8.05,7.64,8,8763600,69173352
EMP,06/03/2021,9.79,9.79,9.57,9.79,207200,2010408
FB,06/03/2021,69.5,70.8,69.5,70.75,31540,2223152.5
FOOD,06/03/2021,0.61,0.61,0.61,0.61,1000,610
FRUIT,06/03/2021,1.46,1.49,1.45,1.48,18332000,27018340
GSMI,06/03/2021,72.9,74,72.1,72.1,32790,2399425.5
JFC,06/03/2021,194.2,195.6,190,193.8,295790,57296321
LFM,06/03/2021,29,29.3,29,29.3,22500,653210
MACAY,06/03/2021,7.26,7.65,7.26,7.65,700,5121
MAXS,06/03/2021,6.58,6.67,6.58,6.62,201100,1331678
MG,06/03/2021,0.26,0.265,0.26,0.265,1140000,298050
MONDE,06/03/2021,13.5,13.5,12.68,13.1,148213200,1956805658
PIZZA,06/03/2021,7.98,8.21,7.92,7.94,1003500,8092825
RCI,06/03/2021,1.06,1.07,1.03,1.06,3114000,3252860
RFM,06/03/2021,4.64,4.64,4.5,4.5,8000,36600
ROX,06/03/2021,1.5,1.5,1.5,1.5,1000,1500
SFI,06/03/2021,0.131,0.131,0.129,0.129,1270000,164360
URC,06/03/2021,142,142,138.4,140.8,167160,23480645
VITA,06/03/2021,0.89,0.92,0.87,0.91,4688000,4223380
CA,06/03/2021,53.2,53.2,53.2,53.2,1550,82460
CHP,06/03/2021,1.29,1.34,1.28,1.33,8657000,11474800
DAVIN,06/03/2021,2.98,2.98,2.9,2.91,1319000,3843300
EAGLE,06/03/2021,13.3,13.3,13.2,13.3,256500,3411260
