^FINANCIAL,01/14/2021,1475,1506.39,1465.44,1506.39,1355689,1355689037.25
AUB,01/14/2021,44.95,44.95,43.55,44,10900,476345
BDO,01/14/2021,109.5,113,108.7,113,7201380,804834500
BPI,01/14/2021,85.4,86.25,84.55,86.2,2121690,182306414.5
CHIB,01/14/2021,25.75,25.8,25.6,25.7,106400,2731725
EW,01/14/2021,10.32,10.44,10.1,10.36,1549600,15991596
MBT,01/14/2021,48.5,49.95,48,49.5,3764200,186095700
PBB,01/14/2021,11.2,11.2,11.2,11.2,5600,62720
PNB,01/14/2021,27.9,27.95,27.8,27.85,159400,4442865
PSB,01/14/2021,55.2,55.5,55,55.5,4920,271657.5
PTC,01/14/2021,97.6,97.6,97.6,97.6,40,3904
RCB,01/14/2021,18.2,18.5,18.02,18.5,31400,577268
SECB,01/14/2021,132,138.3,131,138.3,1072490,146159156
UBP,01/14/2021,70.05,70.05,69.5,70.05,7090,496039
BKR,01/14/2021,0.95,1,0.95,1,2000,1950
COL,01/14/2021,4.9,4.97,4.76,4.86,668000,3245970
FAF,01/14/2021,0.63,0.63,0.63,0.63,20000,12600
FERRO,01/14/2021,4.67,4.73,4.21,4.48,748000,3343450
I,01/14/2021,1.63,1.72,1.63,1.67,573000,948760
MED,01/14/2021,0.44,0.44,0.405,0.425,2120000,881950
MFC,01/14/2021,890,890,890,890,300,267000
NRCP,01/14/2021,0.79,0.82,0.79,0.82,1505000,1202360
PSE,01/14/2021,153,154,153,154,5020,771569
SLF,01/14/2021,2170,2170,2170,2170,100,217000
V,01/14/2021,1.02,1.08,1.02,1.03,61000,62850
^INDUSTRIAL,01/14/2021,9506.29,9579.32,9445.31,9499.84,2512505,2512505122.72
ACEN,01/14/2021,6,6.75,5.8,6.65,107427400,684516639
ACR,01/14/2021,1.28,1.3,1.26,1.3,663000,845130
AP,01/14/2021,26.6,26.7,26.05,26.05,4139300,109095355
BSC,01/14/2021,1.05,1.05,0.9,1.05,540008000,553396090
FGEN,01/14/2021,31,32,30.1,31.75,1661900,52352430
FPH,01/14/2021,80,82.5,79.1,82,143100,11723927
MER,01/14/2021,298.6,299,290.2,290.2,517870,151604706
MWC,01/14/2021,17,17,16.52,16.8,462200,7776940
PCOR,01/14/2021,3.95,3.96,3.88,3.89,4575000,17846520
PERC,01/14/2021,3.62,3.74,3.53,3.7,98000,360270
PNX,01/14/2021,11.52,12.2,11.52,12,109400,1315620
SHLPH,01/14/2021,21.2,21.5,21,21.4,223100,4752155
SPC,01/14/2021,10,10,9.91,9.98,165800,1650609
VVT,01/14/2021,14,14,14,14,47900,670600
ANI,01/14/2021,7.64,8.09,7.63,7.98,603700,4720237
AXLM,01/14/2021,3.35,3.39,3.28,3.39,1607000,5368520
BMM,01/14/2021,76.85,76.85,76.85,76.85,200,15370
CAT,01/14/2021,14.02,15.16,13.92,14.1,10400,147626
CNPF,01/14/2021,19.02,19.32,18.92,19.08,1065500,20393880
DELM,01/14/2021,7.84,8.5,7.65,8.12,281600,2275879
DNL,01/14/2021,7.6,7.72,7.48,7.53,2649000,19979758
EMP,01/14/2021,9.85,10,9.83,10,3012600,30035918
FB,01/14/2021,68.7,69,67,69,266470,18228946.5
FOOD,01/14/2021,0.65,0.68,0.64,0.65,3906000,2566360
FRUIT,01/14/2021,1.72,1.77,1.65,1.75,43028000,73397630
GSMI,01/14/2021,51.95,51.95,51,51.2,60550,3104290
JFC,01/14/2021,197,198,195.5,196.9,1121050,220809017
LFM,01/14/2021,38,39,38,38.9,3100,119775
MACAY,01/14/2021,7.81,8.39,7.81,8,1900,15087
MAXS,01/14/2021,7.15,7.15,7,7.02,487700,3429815
