^FINANCIAL,10/29/2020,1244.2,1244.2,1221.29,1221.29,932162,932162127.6
AUB,10/29/2020,45,45,44.1,44.1,1100,48790
BDO,10/29/2020,90.8,91,89,89,4685960,421360823.5
BPI,10/29/2020,73.4,73.5,71.55,72,2823100,203680599
CHIB,10/29/2020,21.7,21.7,21.6,21.6,23200,501820
EW,10/29/2020,9.5,9.54,9.11,9.42,632300,5937026
MBT,10/29/2020,42.9,42.95,41.7,41.7,3645200,152940110
PBB,10/29/2020,9.74,9.75,9.6,9.6,18300,176843
PNB,10/29/2020,27.1,27.35,26.75,27.35,180400,4889590
PSB,10/29/2020,53,53.15,53,53.15,4960,263101.5
RCB,10/29/2020,17.3,17.8,16.82,17.5,51000,883786
SECB,10/29/2020,98.4,98.4,96.45,96.5,1108990,107372480
UBP,10/29/2020,55.2,55.3,54.55,55.3,4240,233652
BKR,10/29/2020,0.75,0.75,0.75,0.75,9000,6750
COL,10/29/2020,27.95,28,27.95,28,25000,698870
FERRO,10/29/2020,3.6,3.6,3.6,3.6,3000,10800
FFI,10/29/2020,6.99,6.99,6.99,6.99,200,1398
I,10/29/2020,1.17,1.25,1.17,1.21,536000,644040
MED,10/29/2020,0.305,0.305,0.295,0.3,690000,207400
MFC,10/29/2020,765,765,765,765,80,61200
NRCP,10/29/2020,0.56,0.6,0.56,0.57,91000,52560
PSE,10/29/2020,172,172,166,166,1400,233510
SLF,10/29/2020,1935,1935,1935,1935,10,19350
V,10/29/2020,1.03,1.03,1.03,1.03,16000,16480
^INDUSTRIAL,10/29/2020,8530.4,8530.4,8416.73,8416.73,865688,865688709.03
ACEN,10/29/2020,3.8,3.84,3.68,3.68,24191000,90540110
ACR,10/29/2020,1.4,1.42,1.31,1.34,8732000,12006130
AP,10/29/2020,27.45,27.45,26.3,26.3,1532700,40845925
BSC,10/29/2020,0.238,0.238,0.225,0.23,5520000,1272650
FGEN,10/29/2020,29,29,27.65,28.8,1184100,33912820
FPH,10/29/2020,62.9,63.95,62.8,63.2,198430,12554292
MER,10/29/2020,293,295,290,294,295810,86820244
MWC,10/29/2020,14.12,14.3,14.1,14.22,538900,7655634
PCOR,10/29/2020,3.16,3.16,3.11,3.11,1751000,5469100
PERC,10/29/2020,3.4,3.4,3.3,3.3,122000,403350
PNX,10/29/2020,12.9,13.1,12.58,13,163600,2105450
SHLPH,10/29/2020,16.94,16.94,16.5,16.5,380100,6351010
SPC,10/29/2020,10.94,10.94,10.8,10.8,254400,2762106
VVT,10/29/2020,14.18,14.18,14.18,14.18,100,1418
ANI,10/29/2020,7.85,8.03,7.8,8.03,149100,1180799
AXLM,10/29/2020,2.8,2.84,2.77,2.84,409000,1143860
CAT,10/29/2020,11.2,11.2,11.02,11.2,5900,65540
CNPF,10/29/2020,16.78,16.78,16.26,16.5,2321400,38452450
DELM,10/29/2020,5.08,5.1,4.9,5.08,54000,268840
DNL,10/29/2020,6.18,6.18,6.05,6.13,6693600,41004308
EMP,10/29/2020,10,10.02,9.8,10,2335700,23297917
FB,10/29/2020,64.8,65,64.5,65,25750,1666043.5
FOOD,10/29/2020,0.64,0.64,0.63,0.63,333000,213020
FRUIT,10/29/2020,1.21,1.23,1.2,1.22,7444000,9025760
GSMI,10/29/2020,47,47,46,46.55,7300,338230
JFC,10/29/2020,173.5,173.5,171.6,172.5,637430,109875138
LFM,10/29/2020,35.65,35.65,35.65,35.65,100,3565
MACAY,10/29/2020,7.6,7.94,7.54,7.94,13300,100782
MAXS,10/29/2020,5.99,5.99,5.65,5.76,615100,3580118
MG,10/29/2020,0.14,0.14,0.14,0.14,340000,47600
PIZZA,10/29/2020,6.7,6.77,6.56,6.76,521600,3495487
RCI,10/29/2020,1.24,1.27,1.21,1.24,8738000,10820040
RFM,10/29/2020,4.7,4.7,4.69,4.69,5000,23490
ROX,10/29/2020,1.83,1.83,1.83,1.83,12000,21960
SFI,10/29/2020,0.105,0.105,0.105,0.105,10000,1050
URC,10/29/2020,139,139.2,135.2,135.2,640880,87624149
VITA,10/29/2020,0.8,0.8,0.78,0.78,2501000,1961570
VMC,10/29/2020,2.23,2.23,2.23,2.23,1000,2230
CA,10/29/2020,54,54,51.65,51.65,970,52107.5
CAB,10/29/2020,55.4,55.6,53,55.5,630,33696
CHP,10/29/2020,1.58,1.62,1.57,1.58,12900000,20476230
DAVIN,10/29/2020,4.5,4.5,4.38,4.38,19000,84420
EAGLE,10/29/2020,14.8,14.98,14.48,14.98,308000,4527278
EEI,10/29/2020,7.4,7.4,7.19,7.26,687800,4981946
HLCM,10/29/2020,5.75,5.76,5.59,5.66,1030000,5848934
MWIDE,10/29/2020,7.3,7.48,7.15,7.4,2510400,18397882
PHN,10/29/2020,8.16,8.25,8.16,8.25,2400,19593
T,10/29/2020,0.78,0.81,0.75,0.75,247000,191200
VUL,10/29/2020,0.78,0.78,0.77,0.78,244000,188660
CIP,10/29/2020,120.8,120.8,120.8,120.8,20,2416
CROWN,10/29/2020,2.02,2.02,2.02,2.02,2000,4040
EURO,10/29/2020,1.94,1.94,1.87,1.91,325000,616710
PPC,10/29/2020,4.1,4.1,4.1,4.1,5000,20500
CIC,10/29/2020,21.2,21.25,21,21,7300,154760
GREEN,10/29/2020,2.37,2.37,2.22,2.33,16348000,37577710
IMI,10/29/2020,6.41,6.8,6.2,6.78,1435000,9380499
ION,10/29/2020,0.98,1.11,0.97,1.05,7620000,7931520
PMPC,10/29/2020,5.14,5.2,5.14,5.2,24400,125525
SSP,10/29/2020,1.46,1.55,1.46,1.55,8193000,12414820
TECH,10/29/2020,5.33,5.4,5.26,5.29,2706400,14360291
^HOLDING,10/29/2020,6579.58,6579.58,6486.45,6486.45,1213517,1213517982
ABA,10/29/2020,0.48,0.485,0.475,0.485,3740000,1791600
ABG,10/29/2020,8.4,8.5,8.02,8.39,21600,178530
AC,10/29/2020,750,755,741,745,276150,206103530
AEV,10/29/2020,44.5,44.5,42.1,42.1,1408500,60643130
AGI,10/29/2020,8,8.1,7.88,7.9,8371000,66578441
ALLHC,10/29/2020,2.81,2.81,2.65,2.74,2353000,6422840
ANS,10/29/2020,6.56,6.56,6.54,6.54,31000,203308
APO,10/29/2020,0.63,0.63,0.62,0.63,91000,56680
ATN,10/29/2020,0.92,0.92,0.87,0.92,7772000,7004460
ATNB,10/29/2020,0.92,0.92,0.91,0.91,900000,827000
COSCO,10/29/2020,5.16,5.16,5.1,5.14,693200,3558805
DMC,10/29/2020,4.43,4.44,4.28,4.4,10437000,45736910
FDC,10/29/2020,9,9.3,8.9,8.9,11500,103586
FPI,10/29/2020,0.199,0.217,0.199,0.2,180000,36080
GTCAP,10/29/2020,425,425,421,422.8,213140,90138294
HI,10/29/2020,3.23,3.45,3.23,3.33,28000,92540
JGS,10/29/2020,62.45,63.95,61.75,61.95,1560250,97718450.5
KPH,10/29/2020,4.8,4.8,4.8,4.8,2000,9600
LIHC,10/29/2020,0.75,0.76,0.73,0.73,374000,274810
LPZ,10/29/2020,2.58,2.58,2.53,2.58,1600000,4095390
LTG,10/29/2020,11.92,11.96,11.5,11.96,7132300,83710006
MHC,10/29/2020,0.485,0.5,0.48,0.5,66000,32015
MPI,10/29/2020,3.98,4,3.96,4,49222000,196000010
PA,10/29/2020,3.25,3.25,3.08,3.08,5000,15740
PRIM,10/29/2020,0.83,0.87,0.82,0.82,1814000,1515600
SGI,10/29/2020,0.99,1.01,0.99,1.01,182000,181620
SM,10/29/2020,964.5,965,942.5,950,279920,266656495
SMC,10/29/2020,102,102.7,101,101,152030,15407143
SOC,10/29/2020,0.67,0.67,0.64,0.66,151000,101110
TFHI,10/29/2020,125.1,125.1,124,124,300,37222
^PROPERTY,10/29/2020,2996.27,2996.27,2952.17,2991.32,1112313,1112313450.36
ALCO,10/29/2020,0.59,0.6,0.57,0.6,2764000,1630600
ALI,10/29/2020,33.3,33.35,32.15,32.2,11837400,384081935
ARA,10/29/2020,1.05,1.1,1.05,1.06,328000,346030
AREIT,10/29/2020,25.7,25.7,25.6,25.65,302200,7747220
BEL,10/29/2020,1.43,1.43,1.41,1.41,437000,619880
BRN,10/29/2020,0.8,0.81,0.79,0.8,2542000,2028310
CDC,10/29/2020,0.77,0.78,0.77,0.78,40000,31170
CEI,10/29/2020,0.136,0.136,0.132,0.136,2730000,364440
CHI,10/29/2020,5.8,5.8,5.8,5.8,3600,20880
CLI,10/29/2020,4.6,4.6,4.53,4.58,278000,1268960
CPG,10/29/2020,0.37,0.37,0.36,0.36,2040000,739350
CYBR,10/29/2020,0.385,0.385,0.375,0.375,360000,136650
DD,10/29/2020,14.4,14.4,13.9,14,954100,13422894
DMW,10/29/2020,5.25,5.3,5.23,5.3,112900,592931
ELI,10/29/2020,0.285,0.3,0.28,0.295,2900000,845650
EVER,10/29/2020,0.087,0.087,0.087,0.087,10000,870
FLI,10/29/2020,0.97,0.98,0.95,0.98,19716000,19029640
GERI,10/29/2020,0.76,0.76,0.75,0.75,12000,9080
HOUSE,10/29/2020,7.25,7.55,7,7.55,250600,1838396
IRC,10/29/2020,1.54,1.56,1.49,1.51,4547000,6937030
KEP,10/29/2020,2.92,2.92,2.92,2.92,2000,5840
LAND,10/29/2020,0.71,0.71,0.71,0.71,1000,710
MEG,10/29/2020,3.04,3.06,3.01,3.03,20371000,61871370
MRC,10/29/2020,0.41,0.425,0.405,0.41,114410000,47522200
PRMX,10/29/2020,1.2,1.24,1.2,1.21,271000,327520
RLC,10/29/2020,15.7,15.7,14.74,15.36,6271000,96297088
ROCK,10/29/2020,1.55,1.6,1.53,1.53,663000,1034780
SHNG,10/29/2020,2.69,2.69,2.66,2.66,25000,66600
SLI,10/29/2020,1.89,1.92,1.89,1.92,6000,11370
SMPH,10/29/2020,32,32.8,31.6,32.8,8708000,280476645
STR,10/29/2020,4.05,4.05,4,4.05,8000,32200
SUN,10/29/2020,1.23,1.24,1.22,1.23,398000,488440
TFC,10/29/2020,40.05,40.05,40.05,40.05,300,12015
VLL,10/29/2020,3.4,3.44,3.36,3.41,1997000,6780450
^SERVICE,10/29/2020,1456.66,1456.66,1440.35,1442.84,2191739,2191739861.64
ABS,10/29/2020,11.4,11.54,11.24,11.32,170900,1935630
GMA7,10/29/2020,5.1,5.14,5.05,5.1,438400,2234370
MB,10/29/2020,0.395,0.415,0.395,0.415,60000,23900
MBC,10/29/2020,11,11,11,11,1000,11000
GLO,10/29/2020,2060,2098,2054,2060,43425,89580630
TEL,10/29/2020,1330,1348,1325,1330,149805,199464770
APL,10/29/2020,0.054,0.054,0.051,0.053,64410000,3310510
CNVRG,10/29/2020,14.5,15.2,14.38,15.16,26882900,401012396
DFNN,10/29/2020,3.09,3.09,3.02,3.02,101000,305480
DITO,10/29/2020,6.5,6.85,6.21,6.77,99022100,650197824
IMP,10/29/2020,1.34,1.34,1.34,1.34,1000,1340
IS,10/29/2020,0.086,0.086,0.085,0.085,810000,68960
JAS,10/29/2020,1.6,1.69,1.6,1.69,116000,192080
NOW,10/29/2020,4.75,4.82,4.6,4.75,7530000,35522030
TBGI,10/29/2020,0.245,0.249,0.241,0.247,8810000,2157780
WEB,10/29/2020,2.8,2.91,2.7,2.85,2503000,7022700
2GO,10/29/2020,8.99,8.99,8.75,8.91,34300,302444
C,10/29/2020,5.7,5.9,5.45,5.86,9584800,54502627
CEB,10/29/2020,39.6,39.6,38.55,38.9,354200,13792200
ICT,10/29/2020,116,116,111.5,114.5,2152740,246366568
LBC,10/29/2020,14.28,15.7,14.28,14.3,5100,77956
LSC,10/29/2020,0.96,1,0.96,1,496000,479530
MAC,10/29/2020,5.19,5.19,5,5.01,8886700,45018554
MAH,10/29/2020,2.03,2.04,1.92,1.94,1129000,2228880
MAHB,10/29/2020,1.92,2,1.92,2,5000,9920
PAL,10/29/2020,7.27,7.27,6.95,6.96,112000,791221
TUGS,10/29/2020,1.31,1.33,1.27,1.32,3977000,5186720
ACE,10/29/2020,1.22,1.22,1.22,1.22,1000,1220
BHI,10/29/2020,0.027,0.028,0.027,0.027,46300000,1255100
DWC,10/29/2020,1.72,1.72,1.72,1.72,4000,6880
GPH,10/29/2020,11.44,11.44,11.44,11.44,400,4576
WPI,10/29/2020,0.43,0.44,0.41,0.425,3890000,1641450
CEU,10/29/2020,6.49,6.49,6.49,6.49,100,649
FEU,10/29/2020,560,560,550,550,420,231180
IPO,10/29/2020,7.48,7.48,7.48,7.48,100,748
STI,10/29/2020,0.345,0.35,0.335,0.34,9860000,3376950
BCOR,10/29/2020,3.97,4.1,3.71,4.02,1330000,5278460
BLOOM,10/29/2020,7.3,7.3,7.03,7.06,13146300,94046433
LOTO,10/29/2020,1.82,1.9,1.78,1.84,664000,1212070
LR,10/29/2020,1.51,1.53,1.5,1.53,826000,1249650
MJC,10/29/2020,2.2,2.2,2.12,2.12,18000,38480
PLC,10/29/2020,0.33,0.33,0.32,0.325,15540000,5019600
PRC,10/29/2020,7.05,7.05,7,7,5000,35040
HOME,10/29/2020,6.64,6.64,6.45,6.59,1504900,9857141
MRSGI,10/29/2020,1.5,1.5,1.42,1.44,1696000,2454540
PGOLD,10/29/2020,42.2,42.25,41.4,41.55,3253300,135745125
RRHI,10/29/2020,65,65,64,64.4,617770,39825759
SEVN,10/29/2020,114,114,113.8,114,2770,315630
SSI,10/29/2020,1.28,1.29,1.22,1.27,13286000,16817620
WLCON,10/29/2020,14.76,14.76,14.26,14.34,6465600,93203844
