^FINANCIAL,10/16/2020,1180.57,1185.19,1175.37,1177.72,533197,533197333.1
AUB,10/16/2020,45,45,45,45,2600,117000
BDO,10/16/2020,87.5,88.4,87.5,87.5,2234900,195991112.5
BPI,10/16/2020,66.45,66.8,66.05,66.7,726780,48334588
CHIB,10/16/2020,21.7,21.75,21.6,21.65,138600,3003285
EW,10/16/2020,9.15,9.2,9.06,9.12,818100,7465646
MBT,10/16/2020,41.8,41.95,40.5,40.9,4738100,195229095
PBB,10/16/2020,9.4,9.42,9.4,9.41,10800,101631
PNB,10/16/2020,24.45,24.45,24.1,24.15,418400,10113160
PSB,10/16/2020,51,51.6,50.9,51.45,520,26591.5
PTC,10/16/2020,96,96,96,96,300,28800
RCB,10/16/2020,16.9,17.1,16.9,17.1,600,10220
SECB,10/16/2020,93.2,94,93.1,93.8,188590,17687617
UBP,10/16/2020,54.4,54.4,54.2,54.4,83120,4508588.5
BKR,10/16/2020,0.75,0.75,0.75,0.75,11000,8250
COL,10/16/2020,27.2,27.4,26.6,27.3,4500,121900
FAF,10/16/2020,0.52,0.58,0.52,0.58,2000,1100
FERRO,10/16/2020,3.36,3.37,3.36,3.37,32000,107710
I,10/16/2020,1.14,1.14,1.13,1.13,19000,21600
MED,10/16/2020,0.32,0.33,0.31,0.315,1110000,350050
NRCP,10/16/2020,0.59,0.59,0.55,0.58,346000,194280
PSE,10/16/2020,156.8,156.8,156.8,156.8,50,7840
^INDUSTRIAL,10/16/2020,7970.42,8023.69,7966.26,8016.56,806126,806126900.9
ACEN,10/16/2020,3.48,3.54,3.42,3.48,26966000,94362600
ACR,10/16/2020,1.25,1.27,1.22,1.25,784000,971860
AP,10/16/2020,26.2,26.2,25.95,26,395100,10281115
BSC,10/16/2020,0.169,0.178,0.169,0.173,9710000,1668830
FGEN,10/16/2020,25.1,25.5,25,25.5,1211600,30686040
FPH,10/16/2020,60.2,60.2,59.95,59.95,40940,2455116.5
MER,10/16/2020,285.4,293.8,285.4,292,528560,153624444
MWC,10/16/2020,14.06,14.24,14.04,14.12,690200,9766174
PCOR,10/16/2020,3.01,3.05,3,3.02,1466000,4429190
PERC,10/16/2020,4,4.38,3.5,3.5,1341000,5292640
PNX,10/16/2020,11.1,11.14,10.88,11.1,81300,901452
SHLPH,10/16/2020,15.98,16.16,15.98,16.1,189400,3047968
SPC,10/16/2020,10.66,10.7,10.6,10.66,219600,2342290
