^FINANCIAL,10/19/2020,1178.86,1185.44,1176.99,1185.44,383413,383413514.78
AUB,10/19/2020,45.25,45.25,44.75,44.9,10300,461005
BDO,10/19/2020,87.7,89.1,87.65,89,1804610,159145088.5
BPI,10/19/2020,66.7,67,66.3,66.9,1093490,73038081.5
CHIB,10/19/2020,21.65,21.7,21.6,21.65,65200,1411545
EW,10/19/2020,9.12,9.25,9.12,9.17,229100,2104802
MBT,10/19/2020,40.9,40.95,40.55,40.85,2297100,93732780
PBB,10/19/2020,9.41,9.49,9.41,9.41,67400,638440
PBC,10/19/2020,16.76,16.76,16.5,16.5,50000,828726
PNB,10/19/2020,24.2,24.6,24.15,24.2,628300,15328030
PSB,10/19/2020,51.4,51.45,51.4,51.45,510,26214.5
RCB,10/19/2020,17.1,17.1,16.9,16.94,103500,1753786
SECB,10/19/2020,94,94.15,93.5,94,334300,31407777
UBP,10/19/2020,54.4,54.7,54.4,54.65,32630,1781870
BKR,10/19/2020,0.76,0.76,0.76,0.76,1000,760
COL,10/19/2020,27.3,27.5,26.65,26.65,6400,173980
FERRO,10/19/2020,3.24,3.7,3.24,3.7,129000,468160
I,10/19/2020,1.12,1.17,1.12,1.16,69000,79320
MED,10/19/2020,0.315,0.315,0.305,0.31,1650000,508600
MFC,10/19/2020,722,722,700,710,100,71840
NRCP,10/19/2020,0.59,0.59,0.55,0.56,306000,169470
PSE,10/19/2020,156,157.2,156,157.2,1470,230556
^INDUSTRIAL,10/19/2020,8048,8127.3,8019.77,8123.98,1056845,1056845286.92
ACEN,10/19/2020,3.5,3.59,3.42,3.51,16331000,57096180
ACR,10/19/2020,1.25,1.26,1.23,1.25,480000,599140
AP,10/19/2020,26.2,26.25,25.85,26.25,966800,25270475
BSC,10/19/2020,0.174,0.187,0.173,0.179,10030000,1810490
FGEN,10/19/2020,25.55,26.6,24.5,26.3,1222900,31577775
FPH,10/19/2020,60,60,59.95,60,30980,1858764.5
MER,10/19/2020,290,290,285,289.6,166500,48016936
MWC,10/19/2020,14.12,14.26,14.12,14.12,1031700,14618766
PCOR,10/19/2020,3.04,3.05,3.02,3.02,2031000,6149610
PERC,10/19/2020,3.81,4,3.65,3.65,556000,2106050
PNX,10/19/2020,11.52,16.64,11.52,14.88,10866300,157535256
SHLPH,10/19/2020,16.1,16.34,16.1,16.2,763500,12375460
SPC,10/19/2020,10.66,10.98,10.66,10.98,363300,3928418
ANI,10/19/2020,7.68,7.8,7.62,7.7,203200,1569745
AXLM,10/19/2020,2.85,2.85,2.75,2.82,1538000,4307290
CNPF,10/19/2020,17.8,17.86,17.76,17.78,1517300,26972918
DELM,10/19/2020,4.9,4.98,4.85,4.85,104000,510960
DNL,10/19/2020,5.53,5.85,5.52,5.85,14458900,83076120
EMP,10/19/2020,9.83,9.89,9.83,9.88,299900,2962139
FB,10/19/2020,65.95,65.95,64.5,64.5,266010,17200057
FOOD,10/19/2020,0.65,0.65,0.64,0.65,172000,110280
FRUIT,10/19/2020,1.17,1.18,1.16,1.17,5241000,6131580
GSMI,10/19/2020,46,48,46,47.9,60000,2848385
JFC,10/19/2020,147.1,154.8,147.1,154.6,1882710,285893830
MACAY,10/19/2020,7.53,7.94,7.53,7.94,4300,34060
MAXS,10/19/2020,4.95,4.99,4.93,4.98,320000,1589320
