^FINANCIAL,03/25/2021,1414.81,1417.51,1411.54,1412.19,678911,678911502.58
BDO,03/25/2021,104.9,105.4,104.3,105,2776900,291508947
BPI,03/25/2021,84.8,84.8,84.05,84.05,1240320,104578674.5
CHIB,03/25/2021,23.3,23.3,22.9,23.05,53400,1234535
CSB,03/25/2021,7.61,8.46,7.59,8.14,7300,55635
EW,03/25/2021,9.4,9.59,9.38,9.53,178700,1697851
MBT,03/25/2021,46.5,46.95,46.5,46.75,2635800,123264320
PNB,03/25/2021,23,23.35,22.95,23,785600,18062090
PSB,03/25/2021,56.7,56.7,56.65,56.7,160,9071
RCB,03/25/2021,17.02,17.02,16.94,17,63700,1082836
SECB,03/25/2021,119.8,121,119.8,121,563710,67960095
UBP,03/25/2021,69.05,69.25,69,69.1,31890,2206276.5
BKR,03/25/2021,1.56,1.63,1.56,1.61,578000,923630
COL,03/25/2021,3.97,3.98,3.92,3.98,178000,702300
FERRO,03/25/2021,3.12,3.12,3.12,3.12,3000,9360
I,03/25/2021,1.4,1.45,1.4,1.45,3000,4250
MED,03/25/2021,0.395,0.415,0.37,0.4,90000,35450
NRCP,03/25/2021,0.8,0.8,0.72,0.75,422000,314820
PSE,03/25/2021,145,145.5,144,144,8040,1162472
^INDUSTRIAL,03/25/2021,8476.1,8612.5,8476.1,8571.05,1131404,1131404005.1
ACEN,03/25/2021,6.92,7.03,6.9,6.96,5769700,40235685
ACR,03/25/2021,1.24,1.28,1.24,1.28,138000,172820
AP,03/25/2021,23.65,23.95,23.65,23.65,1759200,41809725
BSC,03/25/2021,0.77,0.92,0.77,0.91,298079000,253683170
FGEN,03/25/2021,29.5,30,29.5,30,288700,8642855
FPH,03/25/2021,69.2,72.35,69.2,70,7660,543295
MER,03/25/2021,273,274.6,270.2,274.6,262140,71758710
MWC,03/25/2021,14.4,14.46,14.22,14.3,1149600,16455724
PCOR,03/25/2021,3.02,3.08,3.01,3.08,2174000,6632150
PERC,03/25/2021,3.86,3.87,3.85,3.85,116000,446850
PNX,03/25/2021,11.3,11.46,11,11,1554700,17165678
SHLPH,03/25/2021,20.85,20.85,20.5,20.5,120900,2496870
SPC,03/25/2021,10.28,10.3,10.16,10.3,103200,1053498
VVT,03/25/2021,14.5,14.5,14.5,14.5,3200,46400
ANI,03/25/2021,6.88,6.88,6.74,6.79,5693000,39015115
AXLM,03/25/2021,3.11,3.35,3.11,3.32,1862000,6147210
CAT,03/25/2021,12.92,13.16,12.9,12.9,2600,33722
CNPF,03/25/2021,17.5,17.78,17.3,17.5,3182100,55564284
DELM,03/25/2021,9,9,8.82,9,53500,477387
DNL,03/25/2021,7.26,7.34,7.2,7.22,510900,3699211
EMP,03/25/2021,10.4,10.4,10.22,10.38,294600,3040854
FB,03/25/2021,59.5,61.2,59.5,60.5,31310,1893259.5
FOOD,03/25/2021,0.61,0.64,0.61,0.64,139000,87320
FRUIT,03/25/2021,1.35,1.37,1.34,1.37,2577000,3498190
GSMI,03/25/2021,49.5,50.5,49.5,50.5,1100,55050
JFC,03/25/2021,177.9,181.2,177.9,178.2,263590,47175072
LFM,03/25/2021,31.1,31.1,31.1,31.1,100,3110
MAXS,03/25/2021,5.8,5.85,5.74,5.85,249700,1437406
MG,03/25/2021,0.3,0.325,0.295,0.315,9150000,2866450
PIZZA,03/25/2021,6.81,6.9,6.8,6.81,31100,212050
RCI,03/25/2021,1.05,1.06,1.03,1.04,1814000,1891070
RFM,03/25/2021,4.58,4.58,4.58,4.58,4000,18320
ROX,03/25/2021,1.44,1.44,1.36,1.36,15000,21160
SFI,03/25/2021,0.139,0.141,0.132,0.14,15300000,2140790
URC,03/25/2021,128,133,128,132,1413430,186445838
VITA,03/25/2021,0.79,0.83,0.78,0.82,3656000,2922650
VMC,03/25/2021,2.2,2.25,2.2,2.25,4000,8850
CA,03/25/2021,55.4,55.4,54.95,55,360,19875.5
CAB,03/25/2021,60.7,60.7,60.7,60.7,10,607
CHP,03/25/2021,1.11,1.15,1.11,1.15,2208000,2507260
DAVIN,03/25/2021,3.03,3.17,2.9,2.98,22090000,67035280
EAGLE,03/25/2021,11.02,11.48,11.02,11.48,700,7806
EEI,03/25/2021,7.4,7.7,7.4,7.4,25700,190443
HLCM,03/25/2021,5.55,5.65,5.52,5.55,409100,2271429
MWIDE,03/25/2021,6.2,6.6,6.18,6.55,1076900,6894784
PHN,03/25/2021,12.2,12.2,12,12.2,64600,787240
T,03/25/2021,1.07,1.15,1.07,1.13,365000,409270
VUL,03/25/2021,2.08,2.24,2.07,2.2,13979000,30404780
CROWN,03/25/2021,1.99,2.12,1.99,2.1,1275000,2636280
EURO,03/25/2021,1.96,2.01,1.94,2,80000,156440
PPC,03/25/2021,5.33,5.35,5.25,5.25,178200,942937
CIC,03/25/2021,20.45,21.15,20.45,21,5700,120365
GREEN,03/25/2021,3.76,3.87,3.76,3.8,12790000,48911100
IMI,03/25/2021,10.06,10.36,10.06,10.36,322400,3307262
ION,03/25/2021,1.13,1.13,1.09,1.09,70000,77350
PMPC,03/25/2021,5.96,5.96,5.96,5.96,100,596
SSP,03/25/2021,1.3,1.32,1.28,1.29,252000,327710
TECH,03/25/2021,6.3,6.3,6.13,6.15,1491700,9231696
^HOLDING,03/25/2021,6521.4,6683.4,6521.4,6663.74,958440,958440728.9
ABA,03/25/2021,1.12,1.21,1.09,1.21,91899000,107427820
ABG,03/25/2021,7.09,7.1,7.09,7.1,6800,48213
AC,03/25/2021,735,759.5,731,759.5,101280,76294040
AEV,03/25/2021,35.5,36.1,35.05,35.05,2721600,96475675
AGI,03/25/2021,10.5,10.68,10.46,10.58,4627000,48947066
ALLHC,03/25/2021,2.9,2.97,2.9,2.94,821000,2412710
ANS,03/25/2021,6.43,6.86,6.42,6.7,13200,88158
APO,03/25/2021,0.66,0.67,0.64,0.64,2791000,1796190
ATN,03/25/2021,0.76,0.78,0.74,0.75,2824000,2131370
ATNB,03/25/2021,0.79,0.79,0.75,0.75,201000,156180
COSCO,03/25/2021,5.29,5.29,5.2,5.2,829800,4324353
DMC,03/25/2021,5.1,5.36,5.07,5.32,8939300,47140897
FDC,03/25/2021,8.34,8.34,8.11,8.15,17700,145545
GTCAP,03/25/2021,515,523.5,515,521,53150,27693800
JGS,03/25/2021,59,61.8,59,61.8,1093120,66865774
LODE,03/25/2021,1.03,1.16,1.03,1.12,13269000,14722460
LPZ,03/25/2021,3.37,3.4,3.34,3.34,107000,359250
LTG,03/25/2021,13.68,13.84,13.68,13.74,4789200,65897338
MHC,03/25/2021,0.48,0.48,0.48,0.48,50000,24000
MPI,03/25/2021,3.79,3.81,3.72,3.73,29065000,108926910
PA,03/25/2021,3.4,3.6,3.38,3.51,20000,69810
PRIM,03/25/2021,3,3.04,2.9,2.92,4488000,13206350
SGI,03/25/2021,1.25,1.25,1.25,1.25,10000,12500
SGP,03/25/2021,350,373,321,360,1660,558280
SM,03/25/2021,962,996.5,962,984,200550,197537915
SMC,03/25/2021,121,122,120.6,121.9,43680,5314636
SOC,03/25/2021,0.71,0.71,0.67,0.68,31000,21080
TFHI,03/25/2021,143,143,136.3,143,120,17021
WIN,03/25/2021,0.24,0.24,0.24,0.24,110000,26400
ZHI,03/25/2021,0.209,0.209,0.209,0.209,10000,2090
^PROPERTY,03/25/2021,3244.7,3305.89,3244.7,3273.53,1659932,1659932034.05
ALCO,03/25/2021,0.62,0.62,0.62,0.62,36000,22320
ALI,03/25/2021,35.1,35.9,35.05,35.05,19333700,680738005
AREIT,03/25/2021,33,33.55,33,33.15,848900,28144755
BEL,03/25/2021,1.42,1.46,1.42,1.45,22000,31830
BRN,03/25/2021,0.9,0.9,0.89,0.9,1266000,1133750
CDC,03/25/2021,0.78,0.8,0.78,0.8,79000,61900
CEI,03/25/2021,0.135,0.135,0.13,0.133,48770000,6342620
CLI,03/25/2021,5.58,5.74,5.58,5.61,1767000,9980576
CPG,03/25/2021,0.385,0.395,0.385,0.39,6940000,2678300
CYBR,03/25/2021,0.33,0.335,0.325,0.33,1870000,615750
DD,03/25/2021,13.48,13.54,13.12,13.26,1228400,16326082
DDMPR,03/25/2021,2.27,2.28,2.24,2.24,204448000,460338200
DMW,03/25/2021,6.67,6.99,6.67,6.99,33900,227858
