^FINANCIAL,03/22/2021,1379.28,1400.51,1370.94,1388.3,875862,875862889.54
AUB,03/22/2021,43.25,43.25,43.25,43.25,200,8650
BDO,03/22/2021,101.3,103.7,100.6,103.4,2489660,254003768
BPI,03/22/2021,82,83,81.5,82.1,1469180,120729092.5
CHIB,03/22/2021,23.6,23.6,23.35,23.35,21300,499225
CSB,03/22/2021,8.48,8.48,7.47,8.38,5800,48276
EW,03/22/2021,9.5,9.5,9.3,9.37,210700,1976684
MBT,03/22/2021,45.5,47,45,45.55,5947800,273928620
PBB,03/22/2021,9.51,10.28,9.48,10.28,4300,40904
PBC,03/22/2021,23,23,23,23,100,2300
PNB,03/22/2021,22.9,23,22.7,22.85,177100,4049910
PSB,03/22/2021,56.7,56.7,55.2,55.2,520,29151
RCB,03/22/2021,17.8,17.8,17,17.5,7500,131452
SECB,03/22/2021,119.8,121,117.1,118.2,631340,74845771
UBP,03/22/2021,69.6,70.5,69.6,70.5,6060,423541
BKR,03/22/2021,1.51,1.6,1.51,1.58,1443000,2245590
COL,03/22/2021,3.97,4,3.91,3.99,97000,385740
FERRO,03/22/2021,3.01,3.15,3,3,52000,156760
I,03/22/2021,1.34,1.46,1.34,1.46,3000,4140
NRCP,03/22/2021,0.8,0.8,0.78,0.78,200000,158000
PSE,03/22/2021,142.1,146.9,141,146.5,4600,666525
SLF,03/22/2021,2300,2300,2300,2300,165,379500
V,03/22/2021,0.98,0.98,0.98,0.98,104000,101920
^INDUSTRIAL,03/22/2021,8416.27,8474.04,8321.05,8398.61,942909,942909706.74
ACEN,03/22/2021,6.78,7.16,6.7,6.99,25613300,178980048
ACR,03/22/2021,1.27,1.27,1.22,1.23,760000,937790
AP,03/22/2021,23.5,24.2,23.45,23.95,2112800,50306130
BSC,03/22/2021,0.7,0.73,0.65,0.68,85855000,59729340
FGEN,03/22/2021,29.5,29.9,29,29.9,287400,8538895
FPH,03/22/2021,70.8,70.8,69,69.05,30190,2103693
MER,03/22/2021,275.6,280,271.8,272.6,253520,69760920
MWC,03/22/2021,13.94,14.4,13.8,14.18,626100,8807248
PCOR,03/22/2021,3.15,3.15,3.01,3.01,2690000,8196980
PERC,03/22/2021,3.59,3.64,3.58,3.64,25000,89890
PNX,03/22/2021,11.8,11.8,11.4,11.78,7500,86936
SHLPH,03/22/2021,20.4,20.5,20.2,20.5,256700,5237835
SPC,03/22/2021,10.44,10.44,10,10.36,313300,3169854
VVT,03/22/2021,14.7,15.6,14.52,14.9,8800,128754
