stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/06/27,13.5,13.5,13.5,13.5,0,0
8990B,2023/06/27,98,98,98,98,0,0
8990P,2023/06/27,101.1,101.1,101.1,101.1,0,0
AAA,2023/06/27,1.61,1.61,1.61,1.61,0,0
AB,2023/06/27,5.06,5.5,5.06,5.5,10800,59090
ABA,2023/06/27,2.68,2.69,2.66,2.67,1220000,3260000
ABG,2023/06/27,3.41,3.41,3.41,3.41,100000,341000
ABS,2023/06/27,6.33,6.33,6.23,6.26,23700,148560
ABSP,2023/06/27,5.96,5.96,5.96,5.96,1600,9540
AC,2023/06/27,634,645,625,630,253980,162150000
ACE,2023/06/27,1.72,1.72,1.72,1.72,1000,1720
ACEN,2023/06/27,5.23,5.36,5.23,5.26,8580000,45390000
ACPA,2023/06/27,500,500,500,500,0,0
ACPAR,2023/06/27,2502,2502,2502,2502,0,0
ACPB1,2023/06/27,499.6,499.6,499.6,499.6,0,0
ACR,2023/06/27,0.74,0.74,0.74,0.74,0,0
AEV,2023/06/27,54.25,55.95,53,53,546760,29350000
AGI,2023/06/27,13.14,13.58,13.14,13.42,550800,7400000
ALCO,2023/06/27,0.485,0.49,0.485,0.49,50000,24450
ALCPB,2023/06/27,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/06/27,101.4,101.4,101.4,101.4,0,0
ALCPD,2023/06/27,490,490,490,490,0,0
ALHI,2023/06/27,6.59,6.59,6.59,6.59,0,0
ALI,2023/06/27,24.7,25.25,24.7,25.1,7490000,187390000
ALLDY,2023/06/27,0.198,0.204,0.195,0.203,12110000,2430000
ALLHC,2023/06/27,2.57,2.66,2.57,2.62,326000,853840
ALTER,2023/06/27,1.04,1.06,1.02,1.05,1200000,1250000
ANI,2023/06/27,7.13,7.16,7.03,7.09,7820000,55800000
ANS,2023/06/27,11.38,11.38,10.9,10.9,17800,194690
AP,2023/06/27,37.55,38.8,37.45,37.85,1670000,63940000
APB2R,2023/06/27,480,480,480,480,2000,960000
APC,2023/06/27,0.22,0.22,0.22,0.22,20000,4400
APL,2023/06/27,0.026,0.026,0.025,0.026,66100000,1690000
APO,2023/06/27,0.59,0.59,0.59,0.59,3000,1770
APVI,2023/06/27,9.8,9.8,9.8,9.8,1300,12740
APX,2023/06/27,2.54,2.59,2.49,2.49,1840000,4660000
AR,2023/06/27,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/06/27,0.86,0.88,0.86,0.87,81000,69870
AREIT,2023/06/27,35.1,35.35,35,35.25,288200,10160000
ASLAG,2023/06/27,1.44,1.48,1.41,1.48,121000,172730
AT,2023/06/27,3.61,3.7,3.61,3.7,128000,472250
ATI,2023/06/27,14.4,14.5,14.4,14.5,21000,303360
ATN,2023/06/27,0.39,0.4,0.39,0.39,970000,382550
ATNB,2023/06/27,0.39,0.39,0.39,0.39,0,0
AUB,2023/06/27,45.5,46.1,45.5,46.1,60200,2770000
AXLM,2023/06/27,2.38,2.4,2.38,2.4,65000,155140
BALAI,2023/06/27,0.54,0.55,0.53,0.55,3510000,1900000
BC,2023/06/27,4.5,4.5,4.5,4.5,0,0
BCB,2023/06/27,4.55,4.55,4.55,4.55,10000,45500
BCOR,2023/06/27,7.5,7.5,7.5,7.5,0,0
BCP,2023/06/27,23.3,23.3,23.3,23.3,0,0
BDO,2023/06/27,139.7,140,136.7,137,2240000,307910000
BEL,2023/06/27,1.2,1.2,1.18,1.18,65000,76820
BH,2023/06/27,680,680,680,680,0,0
BHI,2023/06/27,0.066,0.073,0.066,0.072,77950000,5510000
BKR,2023/06/27,1.46,1.46,1.37,1.37,724000,1000000
BLOOM,2023/06/27,10.82,11.12,10.68,10.96,13480000,147880000
BMM,2023/06/27,52,52,52,52,0,0
BNCOM,2023/06/27,6.75,6.8,6.75,6.8,10900,73860
BPI,2023/06/27,107,109.1,106.1,109.1,1470000,159460000
BRN,2023/06/27,0.71,0.72,0.71,0.72,61000,43810
BRNP,2023/06/27,100.5,101,100.5,101,360,36280
BSC,2023/06/27,0.22,0.222,0.215,0.216,1250000,270770
C,2023/06/27,1.05,1.05,1.05,1.05,147000,154350
CA,2023/06/27,33,33,33,33,0,0
CAB,2023/06/27,42.8,42.8,42.8,42.8,0,0
CAT,2023/06/27,9.19,9.19,9.19,9.19,0,0
CDC,2023/06/27,0.75,0.78,0.75,0.76,99000,74530
CEB,2023/06/27,36.3,36.65,36,36.05,373100,13500000
CEBCP,2023/06/27,35.3,35.5,35.3,35.5,25400,901650
CEI,2023/06/27,0.078,0.078,0.078,0.078,30000,2340
CEU,2023/06/27,8,8,7.4,7.5,23900,182310
CHI,2023/06/27,6.12,6.12,6.12,6.12,0,0
CHIB,2023/06/27,29.55,29.6,29.45,29.5,420000,12400000
CHP,2023/06/27,0.99,1.01,0.99,1,85000,84980
CIC,2023/06/27,15.08,15.14,15.08,15.14,1200,18130
CIP,2023/06/27,123,123,123,123,0,0
CLI,2023/06/27,2.6,2.6,2.58,2.59,65000,167960
CNPF,2023/06/27,24.5,25.45,24.5,25.05,1680000,42300000
CNVRG,2023/06/27,11.24,11.64,11.22,11.32,2760000,31760000
COAL,2023/06/27,0.185,0.185,0.185,0.185,0,0
COL,2023/06/27,3,3,2.97,2.97,40000,119100
COSCO,2023/06/27,4.98,4.98,4.9,4.93,347000,1710000
