stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/06/22,13.5,13.5,13.5,13.5,0,0
8990B,2023/06/22,94,94,94,94,0,0
8990P,2023/06/22,101.1,101.1,101.1,101.1,0,0
AAA,2023/06/22,1.61,1.61,1.61,1.61,0,0
AB,2023/06/22,4.9,5.2,4.87,5.15,64000,321720
ABA,2023/06/22,2.67,2.69,2.65,2.67,20940000,55910000
ABG,2023/06/22,3.51,3.51,3.51,3.51,10000,35100
ABS,2023/06/22,6.2,6.35,6.18,6.34,117800,738450
ABSP,2023/06/22,6.06,6.06,5.9,5.92,11100,66500
AC,2023/06/22,616,631.5,614,624,319240,199350000
ACE,2023/06/22,1.72,1.72,1.72,1.72,0,0
ACEN,2023/06/22,5.05,5.15,5.04,5.11,14240000,72560000
ACPA,2023/06/22,500,500,500,500,0,0
ACPAR,2023/06/22,2502,2502,2450,2450,290,713810
ACPB1,2023/06/22,491.4,491.4,491.4,491.4,20,9830
ACR,2023/06/22,0.77,0.78,0.75,0.76,263000,198890
AEV,2023/06/22,53.9,54.5,52.2,53.85,623510,33450000
AGI,2023/06/22,13.44,13.5,13.04,13.06,1010000,13480000
ALCO,2023/06/22,0.49,0.49,0.49,0.49,10000,4900
ALCPB,2023/06/22,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/06/22,101.4,101.4,101.4,101.4,0,0
ALCPD,2023/06/22,490,490,490,490,0,0
ALHI,2023/06/22,6.59,6.59,6.59,6.59,0,0
ALI,2023/06/22,23.45,23.9,23.2,23.7,15060000,354010000
ALLDY,2023/06/22,0.191,0.192,0.19,0.191,9830000,1870000
ALLHC,2023/06/22,2.46,2.49,2.45,2.48,760000,1880000
ALTER,2023/06/22,0.99,1.04,0.99,1.04,5850000,5930000
ANI,2023/06/22,7.09,7.17,6.3,6.95,8370000,57830000
ANS,2023/06/22,11.2,11.2,10.9,10.9,38200,418670
AP,2023/06/22,36.5,37.7,35.5,37.5,2490000,91630000
APB2R,2023/06/22,480,485,480,485,6000,2900000
APC,2023/06/22,0.225,0.225,0.225,0.225,70000,15750
APL,2023/06/22,0.026,0.027,0.025,0.026,154100000,4020000
APO,2023/06/22,0.57,0.57,0.57,0.57,0,0
APVI,2023/06/22,9.53,9.53,9.53,9.53,32100,305910
APX,2023/06/22,2.42,2.47,2.37,2.39,3070000,7380000
AR,2023/06/22,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/06/22,0.87,0.87,0.87,0.87,7000,6090
AREIT,2023/06/22,34.95,35.2,34.7,34.75,945800,32940000
ASLAG,2023/06/22,1.49,1.49,1.44,1.48,182000,267020
AT,2023/06/22,3.56,3.56,3.55,3.55,4000,14230
ATI,2023/06/22,14,14,14,14,65200,912800
ATN,2023/06/22,0.39,0.39,0.39,0.39,5160000,2010000
ATNB,2023/06/22,0.39,0.39,0.39,0.39,3700000,1440000
AUB,2023/06/22,44.1,44.15,44.1,44.15,600,26490
AXLM,2023/06/22,2.41,2.41,2.39,2.39,48000,115340
BALAI,2023/06/22,0.53,0.54,0.53,0.54,1310000,695030
BC,2023/06/22,4.6,4.6,4.51,4.51,33000,149570
BCB,2023/06/22,4.51,4.51,4.5,4.5,22000,99090
BCOR,2023/06/22,7.5,7.5,7.5,7.5,0,0
BCP,2023/06/22,23.3,23.3,23.3,23.3,0,0
BDO,2023/06/22,139,141.5,139,140.8,1990000,280230000
BEL,2023/06/22,1.2,1.2,1.18,1.2,104000,122820
BH,2023/06/22,680,680,680,680,0,0
BHI,2023/06/22,0.07,0.07,0.067,0.068,24250000,1670000
BKR,2023/06/22,1.38,1.58,1.38,1.54,202740000,284140000
BLOOM,2023/06/22,9.68,10.08,9.6,10,9850000,97590000
BMM,2023/06/22,52,52,52,52,0,0
BNCOM,2023/06/22,6.9,6.9,6.9,6.9,5100,35190
BPI,2023/06/22,106,106.8,105.1,106.5,1720000,182530000
BRN,2023/06/22,0.71,0.71,0.71,0.71,0,0
BRNP,2023/06/22,100,100,100,100,500,50000
BSC,2023/06/22,0.222,0.222,0.21,0.219,5220000,1110000
C,2023/06/22,1.02,1.06,1.01,1.06,197000,204650
CA,2023/06/22,33,33,33,33,0,0
CAB,2023/06/22,42.8,42.8,42.8,42.8,0,0
CAT,2023/06/22,9.2,9.2,9.19,9.19,500,4600
CDC,2023/06/22,0.77,0.8,0.77,0.8,170000,131350
CEB,2023/06/22,36.65,36.7,35.85,35.9,362200,13080000
CEBCP,2023/06/22,35.4,35.4,34.2,35,244100,8540000
CEI,2023/06/22,0.078,0.082,0.078,0.082,30000,2380
CEU,2023/06/22,8.06,8.06,7.83,7.83,29200,229580
CHI,2023/06/22,6.12,6.12,6.12,6.12,0,0
CHIB,2023/06/22,29.15,29.7,29.15,29.3,357200,10540000
CHP,2023/06/22,0.99,1.01,0.99,1.01,1190000,1180000
CIC,2023/06/22,15.14,15.14,15.14,15.14,0,0
CIP,2023/06/22,123,123,123,123,0,0
CLI,2023/06/22,2.59,2.59,2.54,2.59,123000,313850
CNPF,2023/06/22,24,24.3,23.95,24.1,881200,21150000
CNVRG,2023/06/22,10.48,10.7,10.06,10.7,4620000,48190000
COAL,2023/06/22,0.182,0.182,0.182,0.182,0,0
COL,2023/06/22,3,3,3,3,3000,9000
COSCO,2023/06/22,4.88,4.88,4.68,4.88,4430000,21480000
CPG,2023/06/22,0.365,0.365,0.365,0.365,0,0
CPGP,2023/06/22,101.7,101.7,101.7,101.7,0,0
CPM,2023/06/22,2.92,2.92,2.92,2.92,0,0
CREIT,2023/06/22,2.55,2.56,2.55,2.55,874000,2230000
CROWN,2023/06/22,1.5,1.5,1.47,1.47,239000,353090
CSB,2023/06/22,8.47,8.47,6.64,8.47,300,2360
CTS,2023/06/22,0.78,0.79,0.77,0.77,1640000,1270000
CYBR,2023/06/22,0.33,0.33,0.33,0.33,0,0
DD,2023/06/22,7,7.09,6.87,6.9,132800,919560
DDMPR,2023/06/22,1.29,1.29,1.27,1.28,1240000,1580000
DDPR,2023/06/22,96.95,96.95,96.4,96.6,4520,437450
DELM,2023/06/22,8.88,8.88,8.51,8.7,24800,215920
DFNN,2023/06/22,3,3,3,3,20000,60000
DHI,2023/06/22,3.16,3.16,3.16,3.16,0,0
DITO,2023/06/22,2.45,2.53,2.4,2.49,1740000,4270000
DIZ,2023/06/22,4.02,4.02,4.02,4.02,2000,8040
DMC,2023/06/22,9.24,9.24,9.07,9.15,3140000,28650000
DMCP,2023/06/22,1400,1400,1400,1400,0,0
DMPA1,2023/06/22,10,10,10,10,0,0
DMPA2,2023/06/22,9.71,9.71,9.71,9.71,0,0
DMW,2023/06/22,6.52,6.52,6.48,6.5,26500,172060
DNA,2023/06/22,2.86,2.86,2.86,2.86,0,0
DNL,2023/06/22,7.1,7.1,7.02,7.04,64900,456770
DTEL,2023/06/22,10.25,10.25,10.25,10.25,0,0
DWC,2023/06/22,1.44,1.44,1.44,1.44,0,0
ECP,2023/06/22,3.7,3.7,3.7,3.7,0,0
