stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/02/10,7.2,7.2,6.99,7,39700,277870
8990B,2023/02/10,98.5,98.5,98.5,98.5,0,0
8990P,2023/02/10,101.1,101.1,101.1,101.1,0,0
AAA,2023/02/10,1.61,1.61,1.61,1.61,0,0
AB,2023/02/10,7,7.02,7,7.02,6600,46290
ABA,2023/02/10,2.25,2.27,2.21,2.23,7110000,15910000
ABG,2023/02/10,3.98,3.98,3.98,3.98,0,0
ABS,2023/02/10,7.96,7.96,7.52,7.89,222400,1710000
ABSP,2023/02/10,7.5,7.5,7.5,7.5,8400,63000
AC,2023/02/10,700,703.5,698,700,96000,67250000
ACE,2023/02/10,1.57,1.57,1.42,1.42,3000,4410
ACEN,2023/02/10,7,7.14,7,7.01,21020000,148370000
ACPA,2023/02/10,500,500,500,500,0,0
ACPB1,2023/02/10,490,490,490,490,0,0
ACR,2023/02/10,0.84,0.85,0.82,0.84,213000,176460
AEV,2023/02/10,57.3,57.9,56.55,57.9,540230,31020000
AGI,2023/02/10,12.92,13.1,12.9,13.1,1450000,18890000
ALCO,2023/02/10,0.54,0.54,0.53,0.53,108000,58140
ALCPB,2023/02/10,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/02/10,100,100,100,100,0,0
ALCPD,2023/02/10,498,498,498,498,0,0
ALHI,2023/02/10,5.8,5.8,5.8,5.8,100,580
ALI,2023/02/10,29.2,29.45,28.95,29.25,4660000,136610000
ALLDY,2023/02/10,0.3,0.31,0.295,0.3,19850000,5980000
ALLHC,2023/02/10,3.34,3.35,3.26,3.3,2230000,7390000
ANI,2023/02/10,7.04,7.05,6.95,6.99,6260000,43890000
ANS,2023/02/10,9.95,10.2,9.95,10.2,18100,180400
AP,2023/02/10,37.7,37.9,37.5,37.75,828000,31230000
APB2R,2023/02/10,493,493,492,492,40,19690
APC,2023/02/10,0.31,0.31,0.3,0.3,5520000,1670000
APL,2023/02/10,0.034,0.034,0.033,0.033,56900000,1880000
APO,2023/02/10,0.76,0.76,0.73,0.73,554000,408020
APVI,2023/02/10,12.18,12.18,12.18,12.18,2400,29230
APX,2023/02/10,1.96,1.99,1.95,1.98,3750000,7410000
AR,2023/02/10,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/02/10,1.02,1.05,1.02,1.05,54000,55570
AREIT,2023/02/10,36.15,36.15,35.4,35.45,513300,18230000
ASLAG,2023/02/10,1.68,1.7,1.66,1.7,83000,139470
AT,2023/02/10,4.38,4.41,4.38,4.39,283000,1240000
ATI,2023/02/10,13.6,13.6,13.6,13.6,300,4080
ATN,2023/02/10,0.395,0.41,0.39,0.41,600000,241200
ATNB,2023/02/10,0.4,0.4,0.4,0.4,20000,8000
AUB,2023/02/10,41.8,41.85,40.7,40.7,1800,75080
AXLM,2023/02/10,3.43,3.43,3.18,3.33,3620000,11930000
BALAI,2023/02/10,0.69,0.74,0.69,0.73,34370000,24750000
BC,2023/02/10,5.1,5.1,5.1,5.1,0,0
BCB,2023/02/10,4.84,4.95,4.84,4.95,10100,48900
BCOR,2023/02/10,6.9,6.9,6.9,6.9,0,0
BCP,2023/02/10,23.3,23.3,23.3,23.3,0,0
BDO,2023/02/10,125,125.8,124.5,125.5,1050000,130930000
BEL,2023/02/10,1.47,1.48,1.47,1.47,579000,851630
BH,2023/02/10,960,960,960,960,0,0
BHI,2023/02/10,0.051,0.051,0.051,0.051,0,0
BKR,2023/02/10,1.49,1.52,1.42,1.52,61000,90800
BLOOM,2023/02/10,9.45,9.48,9.37,9.45,1000000,9460000
BMM,2023/02/10,52,52,52,52,0,0
BNCOM,2023/02/10,8.16,8.35,8.1,8.35,86600,703560
BPI,2023/02/10,106.5,108,106.5,106.5,1060000,112560000
BRN,2023/02/10,0.74,0.78,0.74,0.75,188000,143210
BRNP,2023/02/10,102.3,102.3,102.3,102.3,0,0
BSC,2023/02/10,0.325,0.335,0.32,0.33,5620000,1820000
C,2023/02/10,1.29,1.29,1.23,1.26,121000,151510
CA,2023/02/10,31.95,31.95,31.95,31.95,0,0
CAB,2023/02/10,32.4,32.4,32.4,32.4,0,0
CAT,2023/02/10,10.5,10.5,10.5,10.5,100,1050
CDC,2023/02/10,0.68,0.69,0.68,0.69,97000,66710
CEB,2023/02/10,41.5,42.5,41.5,41.8,112900,4710000
CEBCP,2023/02/10,41.7,41.7,41.7,41.7,6100,254370
CEI,2023/02/10,0.082,0.087,0.082,0.087,910000,77990
CEU,2023/02/10,7.9,7.9,7.9,7.9,100,790
CHI,2023/02/10,6.12,6.12,6.12,6.12,0,0
CHIB,2023/02/10,29.6,30.7,29.6,30.05,389900,11700000
CHP,2023/02/10,1.17,1.18,1.16,1.17,3760000,4390000
CIC,2023/02/10,16.7,16.7,16.5,16.66,1100,18310
CIP,2023/02/10,165,165,165,165,0,0
CLI,2023/02/10,2.65,2.7,2.64,2.69,131000,348880
CNPF,2023/02/10,24.7,25.4,24.7,25.4,418200,10570000
CNVRG,2023/02/10,17.12,17.34,16.76,16.86,5400000,91790000
COAL,2023/02/10,0.218,0.218,0.218,0.218,0,0
COL,2023/02/10,3.12,3.12,3.12,3.12,4000,12480
COSCO,2023/02/10,4.97,4.98,4.91,4.97,551000,2730000
CPG,2023/02/10,0.37,0.375,0.37,0.37,3770000,1400000
CPGP,2023/02/10,100,100,100,100,0,0
CPM,2023/02/10,3.29,3.3,3.29,3.3,84000,276870
CREIT,2023/02/10,2.48,2.5,2.46,2.49,2010000,5010000
