stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/02/14,6.82,7.1,6.82,6.9,9700,68420
8990B,2023/02/14,99,99,99,99,10,990
8990P,2023/02/14,101.1,101.1,101.1,101.1,0,0
AAA,2023/02/14,1.61,1.61,1.61,1.61,0,0
AB,2023/02/14,7,7.01,6.78,6.79,30900,213480
ABA,2023/02/14,2.22,2.26,2.22,2.24,6660000,14910000
ABG,2023/02/14,3.98,3.98,3.98,3.98,0,0
ABS,2023/02/14,7.69,7.8,7.5,7.51,723600,5530000
ABSP,2023/02/14,7.42,7.42,7.4,7.4,566000,4190000
AC,2023/02/14,690,695,676,680,244300,166470000
ACE,2023/02/14,1.42,1.42,1.42,1.42,0,0
ACEN,2023/02/14,7.1,7.12,6.95,6.95,21920000,153700000
ACPA,2023/02/14,500,500,500,500,0,0
ACPB1,2023/02/14,500,500,500,500,10,5000
ACR,2023/02/14,0.82,0.82,0.82,0.82,16000,13120
AEV,2023/02/14,56.25,56.85,54.55,54.55,2810000,154660000
AGI,2023/02/14,12.88,12.88,12.5,12.56,791300,10000000
ALCO,2023/02/14,0.57,0.57,0.55,0.55,3000,1690
ALCPB,2023/02/14,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/02/14,100,100,100,100,0,0
ALCPD,2023/02/14,498,498,498,498,0,0
ALHI,2023/02/14,5.8,5.8,5.8,5.8,0,0
ALI,2023/02/14,28.8,28.9,28.4,28.7,4960000,141980000
ALLDY,2023/02/14,0.315,0.315,0.3,0.3,26230000,7940000
ALLHC,2023/02/14,3.36,3.38,3.25,3.25,1370000,4500000
ANI,2023/02/14,6.9,7,6.9,6.99,8320000,57740000
ANS,2023/02/14,10.3,10.3,9.92,10,22000,223030
AP,2023/02/14,38.7,40.1,38.7,39.8,7100000,281950000
APB2R,2023/02/14,480,480,475.8,476,1100,524150
APC,2023/02/14,0.28,0.295,0.28,0.295,2120000,612400
APL,2023/02/14,0.033,0.034,0.032,0.032,99800000,3270000
APO,2023/02/14,0.76,0.76,0.74,0.76,173000,131280
APVI,2023/02/14,12,12.48,12,12.48,10300,124080
APX,2023/02/14,2.04,2.07,2.04,2.06,2650000,5440000
AR,2023/02/14,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/02/14,1.01,1.04,1.01,1.04,70000,71690
AREIT,2023/02/14,35.4,35.5,35.15,35.35,160900,5680000
ASLAG,2023/02/14,1.71,1.71,1.68,1.68,577000,974150
AT,2023/02/14,4.37,4.39,4.36,4.37,255000,1110000
ATI,2023/02/14,13.98,13.98,13.7,13.7,2100,29330
ATN,2023/02/14,0.4,0.405,0.4,0.405,190000,76100
ATNB,2023/02/14,0.4,0.4,0.4,0.4,0,0
AUB,2023/02/14,41,41,40.95,40.95,6300,258270
AXLM,2023/02/14,3.21,3.23,3.11,3.11,1740000,5480000
BALAI,2023/02/14,0.67,0.69,0.64,0.66,26780000,17800000
