stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/02/16,7.15,7.15,6.86,6.99,5300,36970
8990B,2023/02/16,96,96,96,96,510,48960
8990P,2023/02/16,101.1,101.1,101.1,101.1,0,0
AAA,2023/02/16,1.61,1.61,1.61,1.61,0,0
AB,2023/02/16,7.02,7.1,7.02,7.1,16500,117030
ABA,2023/02/16,2.26,2.27,2.24,2.25,7920000,17850000
ABG,2023/02/16,3.51,3.51,3.4,3.41,13000,44860
ABS,2023/02/16,7.6,7.64,7.5,7.63,48200,364460
ABSP,2023/02/16,7.32,7.32,7.32,7.32,1000,7320
AC,2023/02/16,666,679,663,670,348130,232970000
ACE,2023/02/16,1.42,1.42,1.42,1.42,0,0
ACEN,2023/02/16,7.03,7.04,6.97,7,7830000,54800000
ACPA,2023/02/16,500,500,500,500,0,0
ACPB1,2023/02/16,500,500,500,500,0,0
ACR,2023/02/16,0.82,0.82,0.82,0.82,0,0
AEV,2023/02/16,54.65,55.7,54.65,55.2,1170000,64440000
AGI,2023/02/16,12.84,13.12,12.84,13,9200000,119650000
ALCO,2023/02/16,0.55,0.57,0.55,0.57,331000,182150
ALCPB,2023/02/16,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/02/16,100,100,100,100,0,0
ALCPD,2023/02/16,484.8,499,484.8,499,1010,489790
ALHI,2023/02/16,5.8,5.8,5.8,5.8,0,0
ALI,2023/02/16,29.15,29.9,28.95,29.6,6490000,191550000
ALLDY,2023/02/16,0.3,0.3,0.29,0.29,21640000,6310000
ALLHC,2023/02/16,3.1,3.18,3.07,3.08,2460000,7610000
ANI,2023/02/16,6.97,7.1,6.92,7.08,6690000,46800000
ANS,2023/02/16,10.28,10.5,10.02,10.48,197200,2040000
AP,2023/02/16,39,39.45,38.95,39.3,2390000,93920000
APB2R,2023/02/16,498,498,498,498,10,4980
APC,2023/02/16,0.295,0.295,0.28,0.28,3820000,1080000
APL,2023/02/16,0.033,0.033,0.032,0.032,85200000,2740000
APO,2023/02/16,0.75,0.77,0.74,0.77,161000,121950
APVI,2023/02/16,12,12.42,11.94,12.42,600,7230
APX,2023/02/16,2,2.04,2,2.02,1720000,3470000
AR,2023/02/16,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/02/16,1.04,1.05,1,1,761000,768100
AREIT,2023/02/16,35.15,35.75,35.1,35.3,262800,9300000
ASLAG,2023/02/16,1.7,1.8,1.7,1.79,7110000,12610000
AT,2023/02/16,4.37,4.45,4.36,4.45,376000,1650000
ATI,2023/02/16,13.7,13.7,13.7,13.7,0,0
ATN,2023/02/16,0.395,0.395,0.395,0.395,80000,31600
ATNB,2023/02/16,0.385,0.385,0.385,0.385,50000,19250
AUB,2023/02/16,40.8,40.85,40.8,40.85,2900,118450
AXLM,2023/02/16,3.01,3.03,2.9,3.03,1850000,5500000
BALAI,2023/02/16,0.72,0.73,0.68,0.7,21890000,15260000
BC,2023/02/16,5.05,5.15,5.05,5.14,46900,239050
BCB,2023/02/16,4.81,5.15,4.81,5.15,36000,178490
BCOR,2023/02/16,6.97,6.97,6.97,6.97,0,0
BCP,2023/02/16,23.3,23.3,23.3,23.3,0,0
BDO,2023/02/16,125.5,126.5,124.2,124.2,2450000,307510000
BEL,2023/02/16,1.48,1.48,1.47,1.48,150000,221490
BH,2023/02/16,960,960,960,960,0,0
BHI,2023/02/16,0.051,0.051,0.051,0.051,0,0
BKR,2023/02/16,1.42,1.42,1.41,1.41,40000,56500
BLOOM,2023/02/16,10,10.14,10,10.12,10530000,106400000
BMM,2023/02/16,52,52,52,52,0,0
BNCOM,2023/02/16,8.15,8.15,8.08,8.11,8000,64820
BPI,2023/02/16,105.7,106.5,105,105.1,1400000,147510000
BRN,2023/02/16,0.78,0.78,0.78,0.78,0,0
BRNP,2023/02/16,101,101,101,101,120,12120
BSC,2023/02/16,0.33,0.34,0.33,0.335,3640000,1210000
C,2023/02/16,1.25,1.25,1.21,1.21,270000,330780
CA,2023/02/16,35,37.95,33,37.95,2400,80300
CAB,2023/02/16,45,45,45,45,0,0
CAT,2023/02/16,10.52,10.8,10.32,10.32,13800,145550
