stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/02/15,6.9,6.81,6.99,6.8,6.99,18100
8990B,2023/02/15,99,99,99,99,99,0
8990P,2023/02/15,101.1,101.1,101.1,101.1,101.1,0
AAA,2023/02/15,1.61,1.61,1.61,1.61,1.61,0
AB,2023/02/15,6.79,6.79,7.02,6.78,6.99,67000
ABA,2023/02/15,2.24,2.24,2.24,2.22,2.24,5810000
ABG,2023/02/15,3.98,3.98,3.98,3.98,3.98,0
ABS,2023/02/15,7.51,7.51,7.65,7.51,7.6,46100
ABSP,2023/02/15,7.4,7.4,7.4,7.4,7.4,0
AC,2023/02/15,680,682,686,668,673.5,274680
ACE,2023/02/15,1.42,1.42,1.42,1.42,1.42,0
ACEN,2023/02/15,6.95,6.95,7.03,6.95,7.03,4570000
ACPA,2023/02/15,500,500,500,500,500,0
ACPB1,2023/02/15,500,500,500,500,500,0
ACR,2023/02/15,0.82,0.82,0.82,0.82,0.82,0
AEV,2023/02/15,54.55,55.15,55.8,54.2,54.65,873660
AGI,2023/02/15,12.56,12.56,12.98,12.48,12.94,1290000
ALCO,2023/02/15,0.55,0.58,0.58,0.55,0.55,111000
ALCPB,2023/02/15,102.3,102.3,102.3,102.3,102.3,0
ALCPC,2023/02/15,100,100,100,100,100,0
ALCPD,2023/02/15,498,498,498,498,498,0
ALHI,2023/02/15,5.8,5.8,5.8,5.8,5.8,0
ALI,2023/02/15,28.7,28.7,29.15,28.4,29.05,7640000
ALLDY,2023/02/15,0.3,0.3,0.305,0.29,0.295,20880000
ALLHC,2023/02/15,3.25,3.26,3.28,3.02,3.1,4720000
ANI,2023/02/15,6.99,6.99,6.99,6.85,6.95,7590000
ANS,2023/02/15,10,10.3,10.3,9.98,10.28,8600
AP,2023/02/15,39.8,39.5,39.6,38.2,39,1730000
APB2R,2023/02/15,476,479,479,479,479,2920
APC,2023/02/15,0.295,0.295,0.295,0.28,0.28,1950000
APL,2023/02/15,0.032,0.032,0.034,0.032,0.033,364700000
APO,2023/02/15,0.76,0.76,0.77,0.76,0.77,51000
APVI,2023/02/15,12.48,12,12,12,12,100
APX,2023/02/15,2.06,2.06,2.07,2.01,2.01,2910000
AR,2023/02/15,0.0046,0.0046,0.0046,0.0046,0.0046,0
ARA,2023/02/15,1.04,1.03,1.03,1.03,1.03,10000
AREIT,2023/02/15,35.35,35.3,35.3,35,35.1,246400
ASLAG,2023/02/15,1.68,1.68,1.7,1.67,1.7,813000
AT,2023/02/15,4.37,4.38,4.41,4.37,4.38,385000
ATI,2023/02/15,13.7,13.7,13.7,13.7,13.7,0
ATN,2023/02/15,0.405,0.4,0.41,0.395,0.395,790000
ATNB,2023/02/15,0.4,0.4,0.4,0.4,0.4,0
AUB,2023/02/15,40.95,41,41,41,41,600
