stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
NIKL,2023/02/22,7.3,7.3,7.11,7.28,2610000,18830000
NOW,2023/02/22,1.81,1.89,1.77,1.89,3310000,6080000
NRCP,2023/02/22,0.59,0.59,0.59,0.59,0,0
NXGEN,2023/02/22,7,7,7,7,0,0
OM,2023/02/22,0.31,0.31,0.31,0.31,0,0
OPM,2023/02/22,0.011,0.011,0.011,0.011,800000,8800
OPMB,2023/02/22,0.01,0.01,0.01,0.01,0,0
ORE,2023/02/22,0.95,0.95,0.9,0.94,1670000,1550000
OV,2023/02/22,0.0095,0.0095,0.0095,0.0095,3000000,28500
PA,2023/02/22,1.95,1.95,1.95,1.95,0,0
PAL,2023/02/22,5.69,5.83,5.5,5.7,90100,498580
PAX,2023/02/22,1.83,1.83,1.83,1.83,0,0
PBB,2023/02/22,10,10,10,10,200,2000
PBC,2023/02/22,16,16,16,16,0,0
PCOR,2023/02/22,2.54,2.54,2.5,2.51,1160000,2910000
PCP,2023/02/22,0.205,0.205,0.205,0.205,0,0
PERC,2023/02/22,4.57,4.57,4.5,4.5,35000,158800
PGOLD,2023/02/22,31.75,31.75,31.05,31.5,604200,18930000
PHA,2023/02/22,0.335,0.335,0.325,0.335,1240000,408450
PHC,2023/02/22,1.4,1.4,1.4,1.4,0,0
PHES,2023/02/22,0.375,0.375,0.375,0.375,110000,41250
PHN,2023/02/22,19.16,19.16,19.16,19.16,5000,95800
PHR,2023/02/22,0.9,0.93,0.88,0.93,2010000,1810000
PIZZA,2023/02/22,8.4,8.42,8.4,8.42,46000,386410
PLC,2023/02/22,0.56,0.56,0.54,0.56,14390000,7930000
PMPC,2023/02/22,5.03,5.03,5.03,5.03,0,0
PNB,2023/02/22,19.78,19.8,19.64,19.64,207700,4100000
PNC,2023/02/22,4.9,4.9,4.9,4.9,0,0
PNX,2023/02/22,8.04,8.29,8.04,8.29,25700,209630
PNX3A,2023/02/22,100.4,100.4,100.4,100.4,0,0
PNX3B,2023/02/22,58.7,58.7,58.7,58.7,140,8220
PNX4,2023/02/22,303.2,303.2,292,292.2,11500,3440000
PNXP,2023/02/22,100,100,100,100,0,0
PORT,2023/02/22,7.3,7.3,7.3,7.3,0,0
PPC,2023/02/22,5.25,5.25,5.2,5.2,60000,314690
PRC,2023/02/22,5.52,5.52,5.52,5.52,0,0
PREIT,2023/02/22,1.54,1.54,1.51,1.53,59000,90130
PRF2A,2023/02/22,1000,1000,1000,1000,0,0
PRF2B,2023/02/22,1027,1027,1027,1027,0,0
PRF3A,2023/02/22,1007,1007,1007,1007,2110,2120000
PRF3B,2023/02/22,1012,1012,1010,1010,2050,2070000
PRIM,2023/02/22,1.93,1.96,1.87,1.87,107000,205760
PRMX,2023/02/22,2.01,2.01,2.01,2.01,5000,10050
PSB,2023/02/22,55,55,55,55,0,0
PSE,2023/02/22,178,178,178,178,10,1780
PTC,2023/02/22,115,115,115,115,0,0
PTT,2023/02/22,0.33,0.33,0.33,0.33,0,0
PX,2023/02/22,3.07,3.09,3.01,3.01,1350000,4090000
PXP,2023/02/22,5.93,5.93,5.77,5.77,218500,1270000
RCB,2023/02/22,24.4,25,24.3,24.4,307800,7610000
RCI,2023/02/22,0.46,0.47,0.455,0.455,1130000,515600
RCR,2023/02/22,5.63,5.64,5.55,5.57,1120000,6290000
REG,2023/02/22,3,3,3,3,0,0
RFM,2023/02/22,3.6,3.6,3.56,3.56,43000,153260
RLC,2023/02/22,15.5,15.5,15.18,15.4,4170000,63710000
RLT,2023/02/22,0.228,0.228,0.228,0.228,0,0
ROCK,2023/02/22,1.33,1.4,1.33,1.35,14000,19290
ROX,2023/02/22,0.78,0.78,0.78,0.78,5000,3900
RRHI,2023/02/22,56.35,57.2,56,56.05,190540,10800000
SBS,2023/02/22,4.5,4.5,4.5,4.5,0,0
SCC,2023/02/22,30.65,30.65,30.3,30.3,1060000,32240000
SECB,2023/02/22,96,96.2,95.5,96.15,157360,15100000
SEVN,2023/02/22,73.45,75.5,73.45,75.5,3770,284130
SFI,2023/02/22,0.076,0.076,0.076,0.076,200000,15200
SFIP,2023/02/22,1.45,1.45,1.45,1.45,0,0
SGI,2023/02/22,0.9,0.97,0.9,0.94,21000,19790
SGP,2023/02/22,11.28,11.34,11.22,11.28,763600,8590000
SHLPH,2023/02/22,17.46,17.6,17,17.02,122200,2110000
SHNG,2023/02/22,2.6,2.6,2.57,2.57,43000,111040
SLF,2023/02/22,2690,2690,2690,2690,5,13450
SLI,2023/02/22,3.06,3.06,3.06,3.06,100000,306000
SM,2023/02/22,894.5,897,879,890,439140,390940000
SMC,2023/02/22,107,107.2,106,106,66770,7120000
SMC2A,2023/02/22,74,74,74,74,0,0
SMC2B,2023/02/22,76.05,76.05,76.05,76.05,0,0
SMC2C,2023/02/22,76.35,76.35,76.35,76.35,0,0
SMC2D,2023/02/22,75.3,75.3,75.3,75.3,0,0
SMC2E,2023/02/22,76.55,76.55,76.55,76.55,0,0
SMC2F,2023/02/22,75.4,75.4,75.4,75.4,0,0
SMC2G,2023/02/22,76.7,76.7,76.7,76.7,0,0
SMC2H,2023/02/22,75,75,75,75,0,0
SMC2I,2023/02/22,75.65,75.65,75.65,75.65,0,0
SMC2J,2023/02/22,71.25,71.25,71.25,71.25,0,0
SMC2K,2023/02/22,71.1,71.1,71.1,71.1,10,711
SMCP1,2023/02/22,74,74,74,74,0,0
SMPH,2023/02/22,37.4,37.4,36.55,36.7,6930000,254960000
SOC,2023/02/22,0.53,0.53,0.53,0.53,0,0
SPC,2023/02/22,9.3,9.32,9.29,9.29,16000,148780
SPM,2023/02/22,1.69,1.69,1.69,1.69,3000,5070
SPNEC,2023/02/22,1.59,1.6,1.56,1.58,23100000,36510000
SRDC,2023/02/22,0.8,0.8,0.8,0.8,0,0
SSI,2023/02/22,1.68,1.69,1.67,1.68,505000,847760
SSP,2023/02/22,1.66,1.72,1.64,1.7,633000,1060000
STI,2023/02/22,0.355,0.36,0.355,0.355,290000,103000
STN,2023/02/22,0.26,0.26,0.26,0.26,0,0
STR,2023/02/22,3.18,3.18,3.18,3.18,0,0
SUN,2023/02/22,1,1,0.92,0.95,43000,41270
T,2023/02/22,0.52,0.52,0.52,0.52,0,0
TBGI,2023/02/22,0.241,0.27,0.241,0.25,3220000,819990
TCB2A,2023/02/22,0.95,0.95,0.94,0.94,50300,47750
TCB2B,2023/02/22,1,1,1,1,0,0
TCB2C,2023/02/22,51,51,51,51,0,0
TCB2D,2023/02/22,52.4,52.4,52.4,52.4,10,524
TECH,2023/02/22,3.1,3.1,3,3.01,599000,1810000
TECHW,2023/02/22,0.66,0.66,0.64,0.66,39000,25640
TEL,2023/02/22,1373,1373,1326,1335,165190,221090000
