stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/01/17,6.7,6.95,6.7,6.95,1300,8990
8990B,2023/01/17,98,98,98,98,0,0
8990P,2023/01/17,101.1,101.1,101.1,101.1,0,0
AAA,2023/01/17,1.61,1.61,1.61,1.61,0,0
AB,2023/01/17,7.36,7.36,7.15,7.33,22300,161920
ABA,2023/01/17,2.04,2.05,2.03,2.04,8990000,18330000
ABG,2023/01/17,4.05,4.05,4.05,4.05,0,0
ABS,2023/01/17,7.15,7.24,7.15,7.18,276400,1980000
ABSP,2023/01/17,7.2,7.2,7.2,7.2,0,0
AC,2023/01/17,768,769,744,769,300980,229300000
ACE,2023/01/17,1.51,1.51,1.51,1.51,0,0
ACEN,2023/01/17,6.9,6.9,6.67,6.75,49700000,335700000
ACPA,2023/01/17,500,500,500,500,0,0
ACPB1,2023/01/17,498,498,498,498,20,9960
ACR,2023/01/17,0.82,0.82,0.82,0.82,6000,4920
AEV,2023/01/17,59.5,60,58,58,849790,49640000
AGI,2023/01/17,12.52,12.52,12.14,12.38,3260000,40000000
ALCO,2023/01/17,0.57,0.59,0.57,0.59,220000,125430
ALCPB,2023/01/17,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/01/17,100,100,100,100,0,0
ALCPD,2023/01/17,499,499,499,499,0,0
ALHI,2023/01/17,5.89,5.89,5.89,5.89,0,0
ALI,2023/01/17,31.6,32.35,31.05,31.95,9780000,312790000
ALLDY,2023/01/17,0.26,0.26,0.25,0.26,19890000,5080000
ALLHC,2023/01/17,3.06,3.1,3.01,3.01,1320000,4000000
ANI,2023/01/17,7.35,7.35,7.1,7.2,8280000,59600000
ANS,2023/01/17,9.58,9.6,9.51,9.57,11600,110970
AP,2023/01/17,39.35,39.4,38,38.5,2070000,79920000
APB2R,2023/01/17,486.8,486.8,486.8,486.8,0,0
APC,2023/01/17,0.216,0.216,0.216,0.216,10000,2160
APL,2023/01/17,0.034,0.035,0.033,0.035,333800000,11380000
APO,2023/01/17,0.78,0.78,0.77,0.77,207000,160880
APVI,2023/01/17,12.6,12.6,12.6,12.6,0,0
APX,2023/01/17,2.13,2.14,2,2.06,11690000,24020000
AR,2023/01/17,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/01/17,1.07,1.1,1.07,1.09,255000,276250
AREIT,2023/01/17,35.95,35.95,35.6,35.7,721300,25760000
ASLAG,2023/01/17,1.67,1.67,1.63,1.66,13910000,22690000
AT,2023/01/17,4.6,4.64,4.58,4.6,494000,2270000
ATI,2023/01/17,13.8,13.8,13.54,13.54,900,12290
ATN,2023/01/17,0.38,0.39,0.37,0.37,480000,179850
ATNB,2023/01/17,0.38,0.38,0.38,0.38,0,0
AUB,2023/01/17,41.4,41.4,40.8,40.85,2300,94070
AXLM,2023/01/17,3.15,3.2,3,3.07,774000,2420000
BALAI,2023/01/17,0.63,0.64,0.58,0.58,31200000,18550000
BC,2023/01/17,4.6,4.79,4.41,4.79,54000,242510
BCB,2023/01/17,4.42,4.79,4.42,4.72,42000,190030
BCOR,2023/01/17,7.2,7.2,7.2,7.2,0,0
BCP,2023/01/17,23.3,23.3,23.3,23.3,0,0
BDO,2023/01/17,125,125,122.6,124.5,5310000,656660000
BEL,2023/01/17,1.38,1.4,1.37,1.37,535000,738540
BH,2023/01/17,960,960,960,960,0,0
BHI,2023/01/17,0.051,0.051,0.051,0.051,0,0
BKR,2023/01/17,1.4,1.4,1.34,1.34,16000,21560
BLOOM,2023/01/17,8.89,8.89,8.79,8.81,8480000,74780000
BMM,2023/01/17,52,52,52,52,0,0
BNCOM,2023/01/17,8.1,8.21,8.1,8.21,1100,8920
BPI,2023/01/17,112.4,112.5,106.6,110.3,2140000,232200000
BRN,2023/01/17,0.76,0.77,0.75,0.75,166000,125570
BRNP,2023/01/17,100.4,100.4,100.4,100.4,500,50200
BSC,2023/01/17,0.32,0.33,0.32,0.33,1350000,430650
C,2023/01/17,1.2,1.2,1.19,1.2,50000,59990
CA,2023/01/17,34.05,34.05,31.9,31.9,1000,32760
CAB,2023/01/17,32.4,32.4,32.4,32.4,0,0
CAT,2023/01/17,10,10,10,10,0,0
