stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/03/01,9.1,9.1,9.1,9.1,0,0
8990B,2023/03/01,96.5,96.5,96.5,96.5,10,965
8990P,2023/03/01,101.1,101.1,101.1,101.1,0,0
AAA,2023/03/01,1.61,1.61,1.61,1.61,0,0
AB,2023/03/01,6.87,6.89,6.79,6.89,10300,70170
ABA,2023/03/01,2.23,2.24,2.22,2.24,3840000,8570000
ABG,2023/03/01,3.44,3.44,3.44,3.44,0,0
ABS,2023/03/01,7.2,7.3,7.2,7.2,26800,193570
ABSP,2023/03/01,7.35,7.35,7.35,7.35,10000,73500
AC,2023/03/01,638,663,630,659,246030,159970000
ACE,2023/03/01,1.55,1.55,1.55,1.55,0,0
ACEN,2023/03/01,6.51,6.58,6.23,6.31,90410000,579300000
ACPA,2023/03/01,500,500,500,500,0,0
ACPB1,2023/03/01,495,495,495,495,0,0
ACR,2023/03/01,0.75,0.77,0.75,0.77,71000,53670
AEV,2023/03/01,55,55,53.6,53.85,1120000,60220000
AGI,2023/03/01,12.58,12.8,12.52,12.72,2410000,30670000
ALCO,2023/03/01,0.55,0.55,0.55,0.55,5000,2750
ALCPB,2023/03/01,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/03/01,102,102,102,102,0,0
ALCPD,2023/03/01,499,499,499,499,0,0
ALHI,2023/03/01,5.6,5.6,5.6,5.6,0,0
ALI,2023/03/01,28.55,28.85,28.35,28.85,4940000,141480000
ALLDY,2023/03/01,0.265,0.27,0.25,0.26,20700000,5370000
ALLHC,2023/03/01,3,3,2.95,2.96,1290000,3830000
ANI,2023/03/01,7.35,7.45,7.24,7.45,9950000,73120000
ANS,2023/03/01,10.34,10.34,10.14,10.3,159000,1630000
AP,2023/03/01,37.85,37.85,36.55,37.5,731900,27550000
APB2R,2023/03/01,485,485,475.2,475.2,2000,952070
APC,2023/03/01,0.265,0.265,0.26,0.265,480000,126800
APL,2023/03/01,0.03,0.031,0.029,0.031,53700000,1620000
APO,2023/03/01,0.71,0.71,0.71,0.71,150000,106500
APVI,2023/03/01,12.46,12.46,11.96,12.46,4200,52280
APX,2023/03/01,1.87,1.91,1.87,1.89,2740000,5190000
AR,2023/03/01,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/03/01,1.01,1.02,1.01,1.01,16000,16170
AREIT,2023/03/01,35.75,36,35.75,35.95,397700,14300000
ASLAG,2023/03/01,1.66,1.66,1.63,1.65,509000,837760
AT,2023/03/01,4.15,4.18,4.15,4.16,127000,529050
ATI,2023/03/01,13.6,13.6,13.6,13.6,0,0
ATN,2023/03/01,0.405,0.41,0.4,0.4,530000,217100
ATNB,2023/03/01,0.405,0.405,0.405,0.405,0,0
AUB,2023/03/01,41.9,42,41.9,42,11100,466090
AXLM,2023/03/01,2.85,2.94,2.84,2.85,883000,2520000
BALAI,2023/03/01,0.64,0.64,0.62,0.63,4570000,2890000
BC,2023/03/01,4.7,5,4.7,5,10000,47600
BCB,2023/03/01,4.7,5.14,4.7,5,21000,100640
BCOR,2023/03/01,6.5,6.5,6.5,6.5,0,0
BCP,2023/03/01,23.3,23.3,23.3,23.3,0,0
BDO,2023/03/01,123.6,125.4,123.6,124,2490000,309210000
BEL,2023/03/01,1.48,1.48,1.39,1.44,2590000,3640000
BH,2023/03/01,960,960,960,960,0,0
BHI,2023/03/01,0.051,0.051,0.051,0.051,0,0
BKR,2023/03/01,1.37,1.37,1.37,1.37,0,0
BLOOM,2023/03/01,9.14,9.58,9.14,9.43,5330000,50200000
BMM,2023/03/01,52,52,52,52,0,0
BNCOM,2023/03/01,8.16,8.37,8.16,8.37,57000,474530
BPI,2023/03/01,108,108,103.9,104,1570000,165320000
BRN,2023/03/01,0.75,0.75,0.75,0.75,10000,7500
BRNP,2023/03/01,100.5,100.5,100,100,2100,210100
BSC,2023/03/01,0.28,0.285,0.275,0.285,5110000,1430000
C,2023/03/01,1.18,1.22,1.16,1.22,430000,504950
CA,2023/03/01,37.95,37.95,37.95,37.95,0,0
CAB,2023/03/01,45,45,45,45,0,0
CAT,2023/03/01,10.82,10.82,10.82,10.82,10700,115770
CDC,2023/03/01,0.74,0.75,0.74,0.75,60000,44760
CEB,2023/03/01,41.8,41.8,40.3,40.3,36300,1470000
CEBCP,2023/03/01,41.3,41.5,40.2,40.2,1100,45460
CEI,2023/03/01,0.086,0.093,0.086,0.09,4620000,412270
CEU,2023/03/01,7.83,7.84,7.83,7.84,4900,38410
CHI,2023/03/01,6.12,6.12,6.12,6.12,0,0
CHIB,2023/03/01,31.35,32.2,31.35,32.05,557200,17740000
CHP,2023/03/01,1.19,1.19,1.17,1.17,3270000,3840000
CIC,2023/03/01,16,16,16,16,3200,51200
CIP,2023/03/01,165,165,165,165,0,0
CLI,2023/03/01,2.57,2.6,2.55,2.58,690000,1760000
CNPF,2023/03/01,26,26.05,25.5,25.9,1580000,40790000
CNVRG,2023/03/01,16.18,16.18,15.6,15.6,3270000,51620000
COAL,2023/03/01,0.2,0.2,0.2,0.2,0,0
COL,2023/03/01,3.11,3.11,3.11,3.11,1000,3110
COSCO,2023/03/01,4.24,4.31,4.2,4.3,6500000,27700000
CPG,2023/03/01,0.355,0.36,0.355,0.355,1800000,640300
CPGP,2023/03/01,101,101,101,101,0,0
CPM,2023/03/01,3.01,3.19,3.01,3.19,146000,454510
CREIT,2023/03/01,2.4,2.46,2.4,2.42,2020000,4900000
CROWN,2023/03/01,1.53,1.53,1.53,1.53,33000,50490
CSB,2023/03/01,7.75,7.75,7.75,7.75,0,0
CTS,2023/03/01,0.94,0.95,0.93,0.95,605000,572840
CYBR,2023/03/01,0.33,0.33,0.33,0.33,0,0
DD,2023/03/01,6.88,6.9,6.82,6.82,54000,371210
DDMPR,2023/03/01,1.42,1.44,1.4,1.44,2630000,3750000
DDPR,2023/03/01,96.5,96.5,96.5,96.5,23000,2220000
DELM,2023/03/01,13.84,13.84,13.4,13.82,10800,145350
DFNN,2023/03/01,3.5,3.8,3.48,3.7,277000,1020000
DHI,2023/03/01,3.16,3.16,3.16,3.16,0,0
DITO,2023/03/01,3.14,3.23,3.14,3.2,1660000,5300000
DIZ,2023/03/01,5,5,5,5,1000,5000
DMC,2023/03/01,10.68,10.86,10.58,10.7,2410000,25750000
DMCP,2023/03/01,1400,1400,1400,1400,0,0
DMPA1,2023/03/01,10,10,10,10,0,0
DMPA2,2023/03/01,9.71,9.71,9.71,9.71,0,0
DMW,2023/03/01,6.88,6.89,6.88,6.89,17000,117010
DNA,2023/03/01,2.86,2.86,2.86,2.86,0,0
DNL,2023/03/01,7.88,8,7.81,7.81,5790000,45520000
DTEL,2023/03/01,10.25,10.25,10.25,10.25,0,0
DWC,2023/03/01,1.63,1.63,1.63,1.63,1000,1630
ECP,2023/03/01,3.5,3.5,3.5,3.5,1000,3500
EEI,2023/03/01,2.88,2.88,2.81,2.85,45000,128260
