stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/03/28,14.34,14.38,14.34,14.34,41100,589870
8990B,2023/03/28,90.5,92.5,90.5,92.5,8610,796210
8990P,2023/03/28,101.1,101.1,101.1,101.1,0,0
AAA,2023/03/28,1.61,1.61,1.61,1.61,0,0
AB,2023/03/28,6.98,6.98,6.96,6.96,25300,176480
ABA,2023/03/28,2.42,2.44,2.4,2.43,3360000,8130000
ABG,2023/03/28,3.82,3.82,3.82,3.82,0,0
ABS,2023/03/28,7.39,7.39,7.2,7.37,191900,1390000
ABSP,2023/03/28,7.39,7.39,7.39,7.39,0,0
AC,2023/03/28,665.5,670,663.5,665.5,314310,209370000
ACE,2023/03/28,1.58,1.59,1.58,1.59,14000,22130
ACEN,2023/03/28,6.47,6.55,6.43,6.5,20810000,135160000
ACPA,2023/03/28,500,500,500,500,0,0
ACPB1,2023/03/28,490,491,490,491,1110,544010
ACR,2023/03/28,0.79,0.79,0.79,0.79,0,0
AEV,2023/03/28,51.5,51.6,50,50,788850,39800000
AGI,2023/03/28,12.7,12.7,12.32,12.66,681000,8560000
ALCO,2023/03/28,0.52,0.52,0.52,0.52,10000,5200
ALCPB,2023/03/28,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/03/28,100,100,100,100,0,0
ALCPD,2023/03/28,490,490,490,490,0,0
ALHI,2023/03/28,5.3,5.3,5.3,5.3,80000,424000
ALI,2023/03/28,28.6,28.8,28.4,28.45,5210000,148790000
ALLDY,2023/03/28,0.245,0.245,0.24,0.241,2140000,518610
ALLHC,2023/03/28,2.93,2.94,2.9,2.92,411000,1200000
ALTER,2023/03/28,1.25,1.25,1.15,1.19,105640000,125810000
ANI,2023/03/28,7.64,7.66,7.54,7.62,7480000,56950000
ANS,2023/03/28,10.2,10.3,10,10,26200,267240
AP,2023/03/28,36.6,37.15,36.45,37.1,941200,34660000
APB2R,2023/03/28,490,490,490,490,0,0
APC,2023/03/28,0.22,0.23,0.22,0.227,270000,59780
APL,2023/03/28,0.033,0.033,0.032,0.032,40600000,1310000
APO,2023/03/28,0.64,0.64,0.64,0.64,0,0
APVI,2023/03/28,12,12,12,12,200,2400
APX,2023/03/28,2.04,2.07,2.02,2.04,2440000,4970000
AR,2023/03/28,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/03/28,0.92,0.92,0.91,0.92,1310000,1200000
AREIT,2023/03/28,34.45,34.45,34.15,34.3,1450000,49830000
ASLAG,2023/03/28,1.6,1.6,1.6,1.6,39000,62400
AT,2023/03/28,4.1,4.1,4.02,4.02,232000,941130
ATI,2023/03/28,13.96,13.96,13.9,13.9,600,8350
ATN,2023/03/28,0.385,0.395,0.38,0.395,1800000,692500
ATNB,2023/03/28,0.38,0.38,0.38,0.38,0,0
AUB,2023/03/28,43.6,43.6,43.6,43.6,0,0
AXLM,2023/03/28,2.7,2.77,2.7,2.76,42000,114280
BALAI,2023/03/28,0.62,0.62,0.6,0.61,5530000,3370000
BC,2023/03/28,4.9,5,4.9,4.9,117000,573680
BCB,2023/03/28,4.9,4.95,4.88,4.88,28000,137000
BCOR,2023/03/28,6.41,6.41,6.41,6.41,0,0
BCP,2023/03/28,23.3,23.3,23.3,23.3,0,0
BDO,2023/03/28,126.7,128.6,125.5,125.5,1490000,189730000
BEL,2023/03/28,1.32,1.32,1.32,1.32,9000,11880
BH,2023/03/28,960,960,960,960,0,0
BHI,2023/03/28,0.051,0.051,0.051,0.051,0,0
BKR,2023/03/28,1.47,1.55,1.46,1.5,198000,297130
BLOOM,2023/03/28,9.2,9.35,9.15,9.25,2710000,25050000
BMM,2023/03/28,52,52,52,52,0,0
BNCOM,2023/03/28,7.8,7.81,7.8,7.8,8800,68650
BPI,2023/03/28,102.3,102.9,101,101.8,1610000,164700000
BRN,2023/03/28,0.78,0.79,0.78,0.78,318000,248540
BRNP,2023/03/28,100.1,100.1,100.1,100.1,0,0
BSC,2023/03/28,0.265,0.265,0.255,0.26,1770000,458150
C,2023/03/28,1.14,1.17,1.14,1.17,7000,8010
CA,2023/03/28,30,30,30,30,0,0
CAB,2023/03/28,45,45,45,45,0,0
CAT,2023/03/28,10.98,10.98,10.98,10.98,0,0
CDC,2023/03/28,0.74,0.74,0.74,0.74,7000,5180
CEB,2023/03/28,39.2,39.5,39,39.5,52300,2050000
CEBCP,2023/03/28,38.75,39.45,38.75,39.45,9600,374440
CEI,2023/03/28,0.083,0.084,0.083,0.084,290000,24320
CEU,2023/03/28,7.1,7.1,7.02,7.02,10000,70240
CHI,2023/03/28,6.12,6.12,6.12,6.12,0,0
CHIB,2023/03/28,31.35,31.55,31.35,31.5,168100,5300000
CHP,2023/03/28,1.07,1.08,1.04,1.08,1420000,1510000
CIC,2023/03/28,15.68,15.68,15.68,15.68,0,0
CIP,2023/03/28,165,165,165,165,0,0
CLI,2023/03/28,2.68,2.68,2.6,2.63,485000,1280000
CNPF,2023/03/28,24.35,24.4,24.15,24.3,1390000,33830000
CNVRG,2023/03/28,13.36,13.7,13.36,13.4,1160000,15630000
COAL,2023/03/28,0.199,0.199,0.199,0.199,0,0
COL,2023/03/28,3.06,3.06,3.06,3.06,0,0
COSCO,2023/03/28,4.08,4.08,3.97,4,3350000,13420000
CPG,2023/03/28,0.365,0.365,0.365,0.365,0,0
CPGP,2023/03/28,101,101,101,101,40,4040
CPM,2023/03/28,3.18,3.18,3.18,3.18,0,0
CREIT,2023/03/28,2.49,2.51,2.48,2.49,3270000,8160000
CROWN,2023/03/28,1.6,1.61,1.6,1.6,42000,67420
CSB,2023/03/28,7.25,7.25,7.25,7.25,0,0
CTS,2023/03/28,0.89,0.89,0.89,0.89,4000,3560
CYBR,2023/03/28,0.33,0.33,0.33,0.33,0,0
DD,2023/03/28,6.8,6.93,6.71,6.83,21200,143990
DDMPR,2023/03/28,1.39,1.4,1.38,1.4,600000,836280
DDPR,2023/03/28,92.6,94.45,90,90,20610,1860000
DELM,2023/03/28,11.12,11.38,11.12,11.38,39400,447260
