stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/03/10,14.24,14.26,14.24,14.24,1080000,15440000
8990B,2023/03/10,98,98,98,98,0,0
8990P,2023/03/10,101.1,101.1,101.1,101.1,0,0
AAA,2023/03/10,1.61,1.61,1.61,1.61,0,0
AB,2023/03/10,6.88,6.88,6.88,6.88,100,688
ABA,2023/03/10,2.27,2.31,2.27,2.3,9550000,21860000
ABG,2023/03/10,3.44,3.44,3.44,3.44,0,0
ABS,2023/03/10,7.31,7.44,7.2,7.35,39700,290650
ABSP,2023/03/10,7.02,7.02,7,7,25800,180870
AC,2023/03/10,630,632,616.5,624,332030,206540000
ACE,2023/03/10,1.57,1.57,1.57,1.57,0,0
ACEN,2023/03/10,6.3,6.34,6.16,6.19,33300000,207430000
ACPA,2023/03/10,500,500,500,500,0,0
ACPB1,2023/03/10,491,491,490,490,1690,829100
ACR,2023/03/10,0.76,0.77,0.76,0.77,90000,69000
AEV,2023/03/10,51.45,51.45,50.25,50.3,63240000,3180000000
AGI,2023/03/10,12.88,12.9,12.72,12.86,2010000,25810000
ALCO,2023/03/10,0.51,0.53,0.51,0.51,245000,125290
ALCPB,2023/03/10,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/03/10,101.9,101.9,101.9,101.9,0,0
ALCPD,2023/03/10,460,470,460,470,160,74200
ALHI,2023/03/10,5.31,5.31,5.31,5.31,0,0
ALI,2023/03/10,26.95,26.95,26.2,26.45,14410000,382280000
ALLDY,2023/03/10,0.26,0.26,0.25,0.26,4920000,1250000
ALLHC,2023/03/10,2.95,2.95,2.92,2.94,254000,746400
ANI,2023/03/10,7.2,7.33,6.81,7.29,7880000,56000000
ANS,2023/03/10,11,11,10.8,10.9,32100,348560
AP,2023/03/10,38,38,37.5,37.9,393700,14870000
APB2R,2023/03/10,475.4,475.4,475.4,475.4,0,0
APC,2023/03/10,0.246,0.246,0.246,0.246,50000,12300
APL,2023/03/10,0.034,0.034,0.033,0.033,170900000,5660000
APO,2023/03/10,0.7,0.7,0.7,0.7,0,0
APVI,2023/03/10,11.86,12.18,11.86,11.86,16800,204400
APX,2023/03/10,1.81,1.83,1.81,1.83,2030000,3690000
AR,2023/03/10,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/03/10,1,1,0.99,0.99,167000,165450
AREIT,2023/03/10,35,35.1,34.7,34.8,442700,15440000
ASLAG,2023/03/10,1.66,1.66,1.62,1.63,660000,1080000
AT,2023/03/10,4.1,4.1,4.1,4.1,59000,241900
ATI,2023/03/10,13.88,13.88,13.88,13.88,0,0
ATN,2023/03/10,0.39,0.415,0.39,0.4,1790000,723500
ATNB,2023/03/10,0.39,0.39,0.39,0.39,150000,58500
AUB,2023/03/10,43,43,41.05,41.05,7500,317210
AXLM,2023/03/10,2.83,2.83,2.71,2.75,1760000,4850000
BALAI,2023/03/10,0.62,0.62,0.6,0.6,8540000,5180000
BC,2023/03/10,4.81,4.98,4.81,4.98,2500,12050
BCB,2023/03/10,4.9,4.9,4.9,4.9,0,0
BCOR,2023/03/10,6.5,6.5,6.5,6.5,0,0
BCP,2023/03/10,23.3,23.3,23.3,23.3,0,0
BDO,2023/03/10,128.1,128.3,123.2,124.2,2170000,271940000
BEL,2023/03/10,1.36,1.36,1.3,1.33,273000,361900
BH,2023/03/10,960,960,960,960,0,0
BHI,2023/03/10,0.051,0.051,0.051,0.051,0,0
BKR,2023/03/10,1.42,1.47,1.4,1.45,103000,146600
BLOOM,2023/03/10,9,9.04,8.78,9.04,2080000,18520000
BMM,2023/03/10,52,52,52,52,0,0
BNCOM,2023/03/10,8.21,8.22,8.06,8.22,19400,158100
BPI,2023/03/10,106.1,109,105.2,109,1190000,128230000
