stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/03/22,14.3,14.34,14.3,14.34,70500,1010000
8990B,2023/03/22,98,98,98,98,30,2940
8990P,2023/03/22,101.1,101.1,101.1,101.1,0,0
AAA,2023/03/22,1.61,1.61,1.61,1.61,0,0
AB,2023/03/22,6.48,6.56,6.48,6.56,40000,260740
ABA,2023/03/22,2.43,2.44,2.4,2.44,4510000,10940000
ABG,2023/03/22,3.46,3.46,3.45,3.45,14000,48390
ABS,2023/03/22,7.44,7.44,7.06,7.4,56800,415000
ABSP,2023/03/22,7.4,7.4,7.4,7.4,0,0
AC,2023/03/22,635,647.5,634,640,151510,97050000
ACE,2023/03/22,1.6,1.6,1.6,1.6,0,0
ACEN,2023/03/22,6.24,6.33,6.24,6.31,13950000,87980000
ACPA,2023/03/22,500,500,500,500,0,0
ACPB1,2023/03/22,490,490,490,490,1000,490000
ACR,2023/03/22,0.76,0.79,0.75,0.79,321000,242480
AEV,2023/03/22,52.2,53.1,51.4,51.4,971390,50540000
AGI,2023/03/22,12.4,12.8,12.4,12.8,1650000,21070000
ALCO,2023/03/22,0.52,0.53,0.52,0.53,61000,31830
ALCPB,2023/03/22,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/03/22,101.9,101.9,101.9,101.9,0,0
ALCPD,2023/03/22,495,495,495,495,0,0
ALHI,2023/03/22,5.3,5.3,5.3,5.3,0,0
ALI,2023/03/22,28.15,28.55,28.05,28.2,8850000,250440000
ALLDY,2023/03/22,0.234,0.24,0.234,0.237,2150000,513260
ALLHC,2023/03/22,2.85,2.93,2.85,2.92,607000,1770000
ALTER,2023/03/22,1.28,1.28,1.28,1.28,0,0
ANI,2023/03/22,7.31,7.38,7.31,7.34,6050000,44470000
ANS,2023/03/22,10,10.1,9.82,10.1,15400,154550
AP,2023/03/22,36.9,37.2,36.75,37,753500,27890000
APB2R,2023/03/22,490,490,490,490,10,4900
APC,2023/03/22,0.221,0.23,0.221,0.23,700000,158960
APL,2023/03/22,0.033,0.033,0.031,0.032,72000000,2300000
APO,2023/03/22,0.66,0.66,0.66,0.66,0,0
APVI,2023/03/22,11.54,12.26,11.54,12.26,66600,809120
APX,2023/03/22,2.02,2.09,1.98,2.06,9580000,19390000
AR,2023/03/22,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/03/22,0.95,0.97,0.95,0.96,106000,101350
AREIT,2023/03/22,34.5,34.5,33.6,34.4,234700,8010000
ASLAG,2023/03/22,1.58,1.6,1.58,1.58,383000,606280
AT,2023/03/22,4.05,4.1,4.05,4.1,117000,478800
ATI,2023/03/22,13.9,13.9,13.9,13.9,2000,27800
ATN,2023/03/22,0.375,0.375,0.375,0.375,200000,75000
ATNB,2023/03/22,0.41,0.41,0.41,0.41,0,0
AUB,2023/03/22,42.95,43,42.95,43,5100,219220
AXLM,2023/03/22,2.75,2.82,2.75,2.82,35000,97660
BALAI,2023/03/22,0.59,0.6,0.59,0.6,2900000,1720000
BC,2023/03/22,4.78,4.78,4.78,4.78,0,0
BCB,2023/03/22,4.8,4.8,4.8,4.8,0,0
BCOR,2023/03/22,6.41,6.41,6.41,6.41,0,0
BCP,2023/03/22,23.3,23.3,23.3,23.3,0,0
BDO,2023/03/22,124,126.7,123.2,126.2,1570000,197860000
BEL,2023/03/22,1.34,1.34,1.27,1.28,39000,49800
BH,2023/03/22,960,960,960,960,0,0
BHI,2023/03/22,0.051,0.051,0.051,0.051,0,0
BKR,2023/03/22,1.4,1.4,1.4,1.4,0,0
BLOOM,2023/03/22,8.9,9.3,8.9,9.1,4990000,45730000
BMM,2023/03/22,52,52,52,52,0,0
BNCOM,2023/03/22,8,8.08,7.98,8,9700,77560
BPI,2023/03/22,103,105.9,103,103.7,1280000,133380000
BRN,2023/03/22,0.72,0.74,0.72,0.74,135000,98730
BRNP,2023/03/22,101.5,101.5,101.5,101.5,40,4060
BSC,2023/03/22,0.26,0.265,0.26,0.265,1100000,289700
C,2023/03/22,1.14,1.18,1.14,1.18,21000,24330
CA,2023/03/22,30,30,30,30,0,0
CAB,2023/03/22,45,45,45,45,0,0
CAT,2023/03/22,10,10,10,10,0,0
CDC,2023/03/22,0.74,0.75,0.74,0.75,46000,34350
CEB,2023/03/22,39.1,39.45,39.1,39.35,51800,2040000
CEBCP,2023/03/22,39,39.1,39,39.1,500,19540
CEI,2023/03/22,0.084,0.084,0.084,0.084,0,0
CEU,2023/03/22,7.5,7.5,7.5,7.5,5100,38250
CHI,2023/03/22,6.12,6.12,6.12,6.12,0,0
CHIB,2023/03/22,31.6,31.8,31.6,31.6,95100,3010000
CHP,2023/03/22,1.08,1.12,1.06,1.06,6850000,7350000
CIC,2023/03/22,14.8,14.8,14.78,14.8,1300,19240
CIP,2023/03/22,165,165,165,165,0,0
CLI,2023/03/22,2.61,2.63,2.6,2.6,172000,448780
CNPF,2023/03/22,24.3,24.55,24.2,24.2,469900,11380000
CNVRG,2023/03/22,13.92,14.08,13.7,13.7,4090000,57000000
COAL,2023/03/22,0.199,0.199,0.199,0.199,0,0
COL,2023/03/22,3,3,3,3,15000,45000
COSCO,2023/03/22,4.1,4.18,4.06,4.12,777000,3190000
CPG,2023/03/22,0.365,0.365,0.365,0.365,70000,25550
CPGP,2023/03/22,101,101,101,101,0,0
CPM,2023/03/22,2.94,3.2,2.9,3.2,40000,119850
CREIT,2023/03/22,2.46,2.47,2.45,2.45,2290000,5610000
CROWN,2023/03/22,1.6,1.62,1.59,1.59,108000,172990
CSB,2023/03/22,7.25,7.25,7.25,7.25,0,0
CTS,2023/03/22,0.9,0.9,0.85,0.85,628000,540180
CYBR,2023/03/22,0.33,0.33,0.33,0.33,0,0
DD,2023/03/22,6.72,6.82,6.72,6.8,8100,54830
DDMPR,2023/03/22,1.38,1.38,1.37,1.37,657000,901230
DDPR,2023/03/22,92.1,92.1,92.1,92.1,20000,1840000
DELM,2023/03/22,11.48,11.5,11.4,11.4,35800,410200
DFNN,2023/03/22,3.15,3.39,3.08,3.26,677000,2180000
DHI,2023/03/22,3.16,3.16,3.16,3.16,0,0
DITO,2023/03/22,2.94,3.03,2.92,2.95,1010000,3010000
DIZ,2023/03/22,3.55,3.55,3.55,3.55,0,0
DMC,2023/03/22,11.66,11.72,11.52,11.6,2660000,30910000
DMCP,2023/03/22,1400,1400,1400,1400,0,0
DMPA1,2023/03/22,10,10,10,10,0,0
DMPA2,2023/03/22,9.71,9.71,9.71,9.71,0,0
DMW,2023/03/22,6.86,6.88,6.86,6.88,56700,390070
DNA,2023/03/22,2.86,2.86,2.86,2.86,0,0
DNL,2023/03/22,7.8,7.8,7.68,7.7,779600,6050000
DTEL,2023/03/22,10.25,10.25,10.25,10.25,0,0
DWC,2023/03/22,1.59,1.59,1.59,1.59,1000,1590
ECP,2023/03/22,3.3,3.3,3.3,3.3,0,0
EEI,2023/03/22,2.68,2.76,2.68,2.76,327000,891610
EEIPA,2023/03/22,98,98,98,98,0,0
EEIPB,2023/03/22,103,103,103,103,0,0
EG,2023/03/22,0.0094,0.0094,0.0094,0.0094,0,0
ELI,2023/03/22,0.19,0.19,0.19,0.19,0,0
EMI,2023/03/22,20.3,20.5,20.3,20.45,127400,2600000
