stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
8990B,2023/07/20,97.45,97.45,97.45,97.45,20,1950
8990P,2023/07/20,101.1,101.1,101.1,101.1,0,0
AAA,2023/07/20,1.61,1.61,1.61,1.61,0,0
AB,2023/07/20,5.12,5.93,5.12,5.78,9900,55270
ABA,2023/07/20,2.59,2.61,2.55,2.59,3910000,10120000
ABG,2023/07/20,3.13,3.13,3.13,3.13,0,0
ABS,2023/07/20,5.9,6,5.85,5.85,75900,449820
ABSP,2023/07/20,5.15,5.17,5.15,5.15,52900,272930
AC,2023/07/20,621,633,621,628,269020,169000000
ACE,2023/07/20,1.69,1.85,1.69,1.8,226000,397880
ACEN,2023/07/20,5.35,5.44,5.3,5.4,6020000,32320000
ACPA,2023/07/20,500,500,500,500,0,0
ACPAR,2023/07/20,2512,2514,2512,2514,70,175930
ACPB1,2023/07/20,494,494,494,494,150,74100
ACR,2023/07/20,0.73,0.74,0.73,0.73,215000,158950
AEV,2023/07/20,53.85,54.35,53.35,53.7,854280,45960000
AGI,2023/07/20,12.62,12.78,12.42,12.5,3140000,39380000
ALCO,2023/07/20,0.495,0.495,0.495,0.495,0,0
ALCPB,2023/07/20,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/07/20,95,95,95,95,0,0
ALCPD,2023/07/20,480,480,480,480,0,0
ALHI,2023/07/20,6.64,6.64,6.64,6.64,0,0
ALI,2023/07/20,26.1,27.1,26.1,27,14390000,385250000
ALLDY,2023/07/20,0.195,0.197,0.195,0.196,2710000,530930
ALLHC,2023/07/20,2.4,2.4,2.34,2.34,3750000,8840000
ALTER,2023/07/20,1.03,1.04,1,1.04,1560000,1590000
ANI,2023/07/20,5.06,5.07,4.72,4.9,6660000,33190000
ANS,2023/07/20,11.1,11.1,11.08,11.08,8400,93160
AP,2023/07/20,35,35.5,34.75,35.1,1570000,55330000
APB2R,2023/07/20,480,480,480,480,120,57600
APC,2023/07/20,0.255,0.3,0.247,0.295,17030000,4720000
APL,2023/07/20,0.023,0.024,0.023,0.023,85200000,2010000
APO,2023/07/20,0.55,0.55,0.55,0.55,150000,82500
APVI,2023/07/20,9.35,9.35,9.35,9.35,17700,165500
APX,2023/07/20,2.88,2.9,2.85,2.85,5120000,14720000
AR,2023/07/20,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/07/20,0.81,0.81,0.79,0.79,99000,78880
AREIT,2023/07/20,34.3,34.65,34.15,34.15,148600,5090000
ASLAG,2023/07/20,1.36,1.4,1.36,1.4,30000,41280
AT,2023/07/20,3.8,3.8,3.8,3.8,20000,76000
ATI,2023/07/20,14.74,14.74,14.74,14.74,0,0
ATN,2023/07/20,0.39,0.39,0.39,0.39,0,0
ATNB,2023/07/20,0.39,0.39,0.39,0.39,0,0
AUB,2023/07/20,47,47.35,47,47,16800,789760
AXLM,2023/07/20,2.23,2.23,2.23,2.23,6000,13380
BALAI,2023/07/20,0.53,0.53,0.52,0.53,493000,256630
BC,2023/07/20,4.41,4.69,4.41,4.69,4000,18480
BCB,2023/07/20,4.51,4.51,4.51,4.51,10000,45100
BCOR,2023/07/20,7.5,7.5,7.5,7.5,800,6000
BCP,2023/07/20,23.3,23.3,23.3,23.3,0,0
BDO,2023/07/20,142,146.9,142,146.3,3320000,484150000
BEL,2023/07/20,1.3,1.3,1.24,1.27,303000,381480
BH,2023/07/20,680,680,680,680,0,0
BHI,2023/07/20,0.074,0.077,0.074,0.077,18760000,1410000
BKR,2023/07/20,1.32,1.32,1.32,1.32,32000,42240
BLOOM,2023/07/20,11.44,11.46,11.3,11.32,3880000,44130000
BMM,2023/07/20,52,52,52,52,0,0
BNCOM,2023/07/20,6.73,6.73,6.1,6.58,112300,705080
BPI,2023/07/20,113.7,115.4,113.7,114.5,1830000,209370000
BRN,2023/07/20,0.69,0.69,0.69,0.69,0,0
BRNP,2023/07/20,101,101,101,101,20,2020
BSC,2023/07/20,0.213,0.219,0.213,0.216,440000,95590
C,2023/07/20,1.01,1.01,1.01,1.01,29000,29290
CA,2023/07/20,35,35,35,35,0,0
CAB,2023/07/20,42,42,42,42,0,0
CAT,2023/07/20,9.2,9.2,9.2,9.2,100,920
CDC,2023/07/20,0.7,0.75,0.7,0.75,67000,49950
CEB,2023/07/20,38,38,37.45,37.7,59100,2220000
CEBCP,2023/07/20,36.5,36.5,36.2,36.5,18200,663760
CEI,2023/07/20,0.08,0.084,0.08,0.084,40000,3240
CEU,2023/07/20,8.01,8.01,8.01,8.01,1000,8010
CHI,2023/07/20,6.12,6.12,6.12,6.12,0,0
CHIB,2023/07/20,30.8,30.85,30.7,30.8,184300,5680000
CHP,2023/07/20,1.08,1.1,1.07,1.09,946000,1030000
CIC,2023/07/20,15.16,15.16,15.08,15.08,900,13600
CIP,2023/07/20,264,264,264,264,0,0
CLI,2023/07/20,2.59,2.59,2.54,2.57,148000,379050
CNPF,2023/07/20,26.15,26.3,26,26.1,439000,11460000
CNVRG,2023/07/20,10.56,10.78,10.5,10.58,3530000,37370000
COAL,2023/07/20,0.162,0.162,0.162,0.162,0,0
COL,2023/07/20,2.96,2.96,2.96,2.96,9000,26640
COSCO,2023/07/20,5.31,5.32,5.29,5.31,1410000,7460000
CPG,2023/07/20,0.345,0.345,0.345,0.345,0,0
CPGP,2023/07/20,101.8,101.8,101.8,101.8,0,0
CPM,2023/07/20,2.84,2.84,2.84,2.84,3000,8520
CREIT,2023/07/20,2.56,2.56,2.54,2.55,4890000,12490000
CROWN,2023/07/20,1.53,1.53,1.52,1.52,66000,100560
CSB,2023/07/20,8.37,8.37,8.37,8.37,0,0
CTS,2023/07/20,0.78,0.78,0.75,0.75,1230000,923900
CYBR,2023/07/20,0.33,0.33,0.33,0.33,0,0
DD,2023/07/20,7.48,7.53,7.37,7.5,232500,1730000
DDMPR,2023/07/20,1.28,1.29,1.27,1.27,450000,574170
DDPR,2023/07/20,95.1,95.85,94.05,95.85,42260,4000000
DELM,2023/07/20,8.6,8.6,8.58,8.58,1400,12040
DFNN,2023/07/20,3,3,2.96,2.99,44000,130890
DHI,2023/07/20,3.16,3.16,3.16,3.16,0,0
DITO,2023/07/20,2.38,2.45,2.38,2.43,975000,2360000
DIZ,2023/07/20,3.39,3.39,3.39,3.39,1000,3390
DMC,2023/07/20,9.4,9.45,9.36,9.37,797700,7490000
DMCP,2023/07/20,1400,1400,1400,1400,0,0
DMPA1,2023/07/20,10,10,10,10,0,0
DMPA2,2023/07/20,9.71,9.71,9.71,9.71,0,0
DMW,2023/07/20,6.28,6.3,6.18,6.18,136000,849640
DNA,2023/07/20,2.86,2.86,2.86,2.86,0,0
DNL,2023/07/20,7.27,7.3,7.17,7.25,565100,4090000
DTEL,2023/07/20,10.25,10.25,10.25,10.25,0,0
DWC,2023/07/20,1.36,1.36,1.36,1.36,0,0
ECP,2023/07/20,2.94,2.94,2.94,2.94,0,0
ECVC,2023/07/20,1.24,1.24,1.24,1.24,0,0
EEI,2023/07/20,5,5.17,4.99,5,96500,485950
EEIPA,2023/07/20,94.1,94.1,94.1,94.1,0,0
EEIPB,2023/07/20,98.5,99.25,98.2,99.25,2100,206660
EG,2023/07/20,0.0094,0.0094,0.0094,0.0094,0,0
ELI,2023/07/20,0.131,0.135,0.131,0.134,1710000,228970
EMI,2023/07/20,20.9,21.2,20.9,20.95,721100,15150000
ENEX,2023/07/20,7.91,8,7.91,8,60100,476420
EURO,2023/07/20,0.8,0.8,0.8,0.8,0,0
EVER,2023/07/20,0.23,0.245,0.23,0.245,4120000,988830
EW,2023/07/20,7.23,7.25,7.2,7.2,63900,460970
FAF,2023/07/20,0.62,0.62,0.62,0.62,0,0
FB,2023/07/20,50.8,50.95,50,50.95,96280,4880000
FBP,2023/07/20,1011,1011,1011,1011,0,0
FBP2,2023/07/20,1005,1005,1005,1005,0,0
FCG,2023/07/20,0.72,0.74,0.72,0.73,5330000,3880000
FDC,2023/07/20,5,5,5,5,11000,55000
FERRO,2023/07/20,2.71,2.87,2.71,2.87,39000,108840
FEU,2023/07/20,542.5,570,542.5,570,3350,1820000
FFI,2023/07/20,3.3,3.3,3.3,3.3,0,0
FGEN,2023/07/20,19.96,19.96,19.6,19.8,384000,7590000
FGENG,2023/07/20,100.4,100.4,100.4,100.4,0,0
FILRT,2023/07/20,3.4,3.46,3.4,3.44,410000,1420000
FJP,2023/07/20,2.03,2.03,2.03,2.03,0,0
FJPB,2023/07/20,1.55,1.55,1.55,1.55,0,0
FLI,2023/07/20,0.67,0.69,0.67,0.69,2090000,1400000
FMETF,2023/07/20,102.6,104,102.6,104,28690,2960000
FNI,2023/07/20,2.22,2.33,2.22,2.23,1100000,2500000
FOOD,2023/07/20,0.54,0.54,0.54,0.54,0,0
FPH,2023/07/20,58.5,59.5,58.45,59.35,480590,28530000
FPI,2023/07/20,0.206,0.206,0.206,0.206,0,0
FRUIT,2023/07/20,1.07,1.09,1.07,1.07,489000,525750
FYN,2023/07/20,3,3,3,3,0,0
FYNB,2023/07/20,5,5,5,5,0,0
GEO,2023/07/20,0.083,0.085,0.08,0.082,15160000,1240000
GERI,2023/07/20,0.86,0.87,0.85,0.87,179000,155380
GLO,2023/07/20,1851,1900,1851,1890,50440,95150000
GLOPA,2023/07/20,5,5,5,5,0,0
GLOPP,2023/07/20,505.5,505.5,505.5,505.5,0,0
GMA7,2023/07/20,8.9,9,8.88,8.98,57600,515340
GMAP,2023/07/20,9,9,9,9,200,1800
GPH,2023/07/20,11.28,11.28,11.28,11.28,0,0
GREEN,2023/07/20,0.57,0.61,0.56,0.56,106040000,61450000
GSMI,2023/07/20,156,157.7,155,157.7,6070,944850
GTCAP,2023/07/20,530,539.5,530,535.5,280110,150040000
GTPPA,2023/07/20,968,968,968,968,0,0
GTPPB,2023/07/20,952,952,952,952,0,0
HI,2023/07/20,4.02,4.02,4.02,4.02,23000,92460
HLCM,2023/07/20,3.87,3.87,3.87,3.87,0,0
HOME,2023/07/20,1.77,1.77,1.73,1.74,1080000,1880000
HOUSE,2023/07/20,9,9.19,9,9.19,1600,14510
HTI,2023/07/20,0.95,0.96,0.94,0.96,1100000,1040000
HVN,2023/07/20,850,850,850,850,0,0
