stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/07/05,13.5,13.5,13.5,13.5,0,0
8990B,2023/07/05,97.9,97.9,97.9,97.9,0,0
8990P,2023/07/05,101.1,101.1,101.1,101.1,0,0
AAA,2023/07/05,1.61,1.61,1.61,1.61,0,0
AB,2023/07/05,5.18,5.18,5.18,5.18,0,0
ABA,2023/07/05,2.69,2.69,2.67,2.69,2210000,5920000
ABG,2023/07/05,3.21,3.21,3.21,3.21,0,0
ABS,2023/07/05,6.24,6.33,6.23,6.32,318200,2000000
ABSP,2023/07/05,5.61,5.9,5.61,5.71,22400,128310
AC,2023/07/05,634,635.5,625,630,442590,278590000
ACE,2023/07/05,1.72,1.72,1.72,1.72,0,0
ACEN,2023/07/05,5.35,5.37,5.32,5.35,4050000,21650000
ACPA,2023/07/05,500,500,500,500,0,0
ACPAR,2023/07/05,2498,2520,2460,2520,3100,7810000
ACPB1,2023/07/05,491.2,491.2,490,490,5000,2450000
ACR,2023/07/05,0.77,0.79,0.77,0.79,161000,123990
AEV,2023/07/05,54.05,56,53.45,56,485880,26980000
AGI,2023/07/05,13.46,13.46,13.3,13.4,522600,6990000
ALCO,2023/07/05,0.5,0.5,0.5,0.5,10000,5000
ALCPB,2023/07/05,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/07/05,101.4,101.4,101.4,101.4,0,0
ALCPD,2023/07/05,485,485,485,485,0,0
ALHI,2023/07/05,6.1,6.1,6.1,6.1,0,0
ALI,2023/07/05,24.65,24.9,24.4,24.7,7470000,184290000
ALLDY,2023/07/05,0.197,0.197,0.192,0.192,7560000,1470000
ALLHC,2023/07/05,2.6,2.6,2.5,2.5,1210000,3060000
ALTER,2023/07/05,1.09,1.09,1.03,1.04,4610000,4830000
ANI,2023/07/05,6.29,6.3,6.05,6.22,6580000,41360000
ANS,2023/07/05,11.16,11.16,11.14,11.14,8600,95960
AP,2023/07/05,37,37,36,36.05,2610000,94170000
APB2R,2023/07/05,483,483,483,483,1000,483000
APC,2023/07/05,0.23,0.237,0.23,0.237,230000,54030
APL,2023/07/05,0.024,0.025,0.023,0.024,79200000,1880000
APO,2023/07/05,0.6,0.6,0.6,0.6,23000,13800
APVI,2023/07/05,9.61,10,9.61,10,300,2920
APX,2023/07/05,2.45,2.51,2.45,2.48,2610000,6470000
AR,2023/07/05,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/07/05,0.85,0.88,0.84,0.86,127000,107100
AREIT,2023/07/05,35,35,34.6,34.7,754200,26220000
ASLAG,2023/07/05,1.47,1.48,1.45,1.48,215000,314470
AT,2023/07/05,3.72,3.8,3.7,3.8,45000,166840
ATI,2023/07/05,14.5,14.5,14.5,14.5,1200,17400
ATN,2023/07/05,0.39,0.39,0.39,0.39,250000,97500
ATNB,2023/07/05,0.39,0.39,0.39,0.39,0,0
AUB,2023/07/05,46.9,46.9,46.4,46.6,33000,1540000
AXLM,2023/07/05,2.36,2.36,2.35,2.35,60000,141230
BALAI,2023/07/05,0.56,0.57,0.53,0.54,24350000,13270000
BC,2023/07/05,4.56,4.56,4.55,4.55,2000,9110
BCB,2023/07/05,4.5,4.5,4.5,4.5,1000,4500
BCOR,2023/07/05,6.86,7.9,6.86,7.9,300,2160
