stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/07/12,13.5,13.5,13.5,13.5,0,0
8990B,2023/07/12,97.9,97.9,97.9,97.9,0,0
8990P,2023/07/12,101.1,101.1,101.1,101.1,0,0
AAA,2023/07/12,1.61,1.61,1.61,1.61,0,0
AB,2023/07/12,5.33,5.33,5.33,5.33,0,0
ABA,2023/07/12,2.69,2.69,2.67,2.69,694000,1860000
ABG,2023/07/12,3.2,3.2,3.2,3.2,1000,3200
ABS,2023/07/12,6.2,6.22,6.18,6.22,71700,444860
ABSP,2023/07/12,5.73,5.73,5.73,5.73,0,0
AC,2023/07/12,609,618,605.5,613.5,197420,121080000
ACE,2023/07/12,1.72,1.72,1.72,1.72,0,0
ACEN,2023/07/12,5.2,5.26,5.19,5.24,7120000,37190000
ACPA,2023/07/12,500,500,500,500,0,0
ACPAR,2023/07/12,2500,2500,2500,2500,10,25000
ACPB1,2023/07/12,488.4,488.4,488.4,488.4,2000,976800
ACR,2023/07/12,0.76,0.76,0.76,0.76,8000,6080
AEV,2023/07/12,54,55.25,54,55.25,119550,6580000
AGI,2023/07/12,13.22,13.22,12.8,12.8,4860000,62540000
ALCO,2023/07/12,0.5,0.5,0.465,0.475,99000,47200
ALCPB,2023/07/12,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/07/12,100,100,100,100,500,50000
ALCPD,2023/07/12,480,480,480,480,10,4800
ALHI,2023/07/12,6.64,6.64,6.64,6.64,200,1330
ALI,2023/07/12,24.75,24.95,24.45,24.75,8080000,199700000
ALLDY,2023/07/12,0.19,0.193,0.19,0.191,3070000,585290
ALLHC,2023/07/12,2.4,2.4,2.35,2.4,489000,1170000
ALTER,2023/07/12,0.96,0.97,0.94,0.96,2050000,1950000
ANI,2023/07/12,5.77,5.78,5.05,5.6,1160000,6500000
ANS,2023/07/12,11,11.16,11,11.16,28400,316410
AP,2023/07/12,36,36.5,36,36.5,500500,18230000
APB2R,2023/07/12,483,483,483,483,2000,966000
APC,2023/07/12,0.227,0.227,0.227,0.227,0,0
APL,2023/07/12,0.023,0.024,0.022,0.024,228700000,5360000
APO,2023/07/12,0.56,0.56,0.56,0.56,0,0
APVI,2023/07/12,9.61,9.61,9.61,9.61,0,0
APX,2023/07/12,2.68,2.74,2.63,2.64,6210000,16720000
AR,2023/07/12,0.0046,0.0046,0.0046,0.0046,0,0
