stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/07/04,13.5,13.5,13.5,13.5,0,0
8990B,2023/07/04,97.9,97.9,97.9,97.9,50,4900
8990P,2023/07/04,101.1,101.1,101.1,101.1,0,0
AAA,2023/07/04,1.61,1.61,1.61,1.61,0,0
AB,2023/07/04,5,5.18,5,5.18,11200,56290
ABA,2023/07/04,2.69,2.69,2.66,2.69,3830000,10260000
ABG,2023/07/04,3.21,3.21,3.21,3.21,4000,12840
ABS,2023/07/04,6.46,6.46,6.22,6.25,162100,1020000
ABSP,2023/07/04,5.78,5.78,5.57,5.61,97200,553380
AC,2023/07/04,630,642,628,638,123420,78470000
ACE,2023/07/04,1.72,1.72,1.72,1.72,0,0
ACEN,2023/07/04,5.32,5.36,5.3,5.35,2240000,11940000
ACPA,2023/07/04,500,500,500,500,0,0
ACPAR,2023/07/04,2498,2498,2498,2498,250,624500
ACPB1,2023/07/04,499.6,499.6,499.6,499.6,0,0
ACR,2023/07/04,0.8,0.82,0.78,0.78,39000,30840
AEV,2023/07/04,54.65,54.9,54.1,54.1,73710,4000000
AGI,2023/07/04,13.18,13.2,13.12,13.2,703600,9280000
ALCO,2023/07/04,0.5,0.5,0.5,0.5,179000,89500
ALCPB,2023/07/04,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/07/04,101.4,101.4,101.4,101.4,0,0
ALCPD,2023/07/04,485,485,485,485,0,0
ALHI,2023/07/04,6.1,6.1,6.1,6.1,0,0
ALI,2023/07/04,24.75,25.05,24.6,24.7,4150000,102920000
ALLDY,2023/07/04,0.197,0.198,0.196,0.197,3450000,679100
ALLHC,2023/07/04,2.62,2.62,2.55,2.59,1180000,3060000
ALTER,2023/07/04,1.05,1.09,1.05,1.08,2010000,2150000
ANI,2023/07/04,6.37,6.75,6.2,6.29,6520000,42890000
ANS,2023/07/04,10.98,11,10.88,10.88,19300,210300
AP,2023/07/04,37.3,37.85,36.6,36.65,2350000,86660000
APB2R,2023/07/04,483,483,475,475.4,14550,6920000
APC,2023/07/04,0.234,0.235,0.228,0.234,90000,20940
APL,2023/07/04,0.024,0.025,0.023,0.024,469300000,11270000
APO,2023/07/04,0.58,0.58,0.58,0.58,141000,81780
APVI,2023/07/04,9.62,9.62,9.62,9.62,31400,302070
APX,2023/07/04,2.43,2.51,2.42,2.48,2580000,6350000
AR,2023/07/04,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/07/04,0.86,0.87,0.85,0.85,117000,99570
AREIT,2023/07/04,35.15,35.15,34.75,35,434600,15200000
ASLAG,2023/07/04,1.46,1.48,1.46,1.46,112000,164570
AT,2023/07/04,3.72,3.8,3.72,3.8,6000,22720
ATI,2023/07/04,14.6,14.6,14.6,14.6,3600,52560
ATN,2023/07/04,0.39,0.39,0.39,0.39,550000,214500
ATNB,2023/07/04,0.39,0.39,0.39,0.39,150000,58500
AUB,2023/07/04,46.2,46.2,46.2,46.2,33300,1540000
AXLM,2023/07/04,2.37,2.37,2.35,2.35,124000,292740
BALAI,2023/07/04,0.55,0.57,0.55,0.56,14200000,7920000
BC,2023/07/04,4.55,4.6,4.55,4.6,4000,18250
BCB,2023/07/04,4.58,4.58,4.58,4.58,0,0
BCOR,2023/07/04,7.9,7.9,7.9,7.9,0,0
BCP,2023/07/04,23.3,23.3,23.3,23.3,0,0
BDO,2023/07/04,138.5,138.5,137.5,137.7,1380000,189910000
BEL,2023/07/04,1.18,1.18,1.17,1.17,156000,182690
BH,2023/07/04,680,680,680,680,0,0
BHI,2023/07/04,0.073,0.074,0.072,0.072,11680000,851380
BKR,2023/07/04,1.39,1.42,1.39,1.42,215000,300480
BLOOM,2023/07/04,11.3,11.42,11.16,11.28,8950000,101000000
BMM,2023/07/04,52,52,52,52,0,0
BNCOM,2023/07/04,6.7,6.74,6.7,6.74,2700,18130
BPI,2023/07/04,108,108,106.6,106.8,607260,64990000
BRN,2023/07/04,0.71,0.73,0.71,0.73,48000,34100
BRNP,2023/07/04,101,101,101,101,100,10100
BSC,2023/07/04,0.238,0.238,0.227,0.231,1170000,267820
C,2023/07/04,1.03,1.05,1.03,1.05,139000,144730
CA,2023/07/04,33,33,33,33,0,0
CAB,2023/07/04,42.8,42.8,42.8,42.8,0,0
CAT,2023/07/04,9.19,9.19,9.19,9.19,900,8270
CDC,2023/07/04,0.72,0.72,0.69,0.72,37000,26190
CEB,2023/07/04,36.5,36.95,36.1,36.95,47100,1720000
CEBCP,2023/07/04,35.9,35.9,35.9,35.9,0,0
CEI,2023/07/04,0.075,0.085,0.075,0.085,1560000,129630
CEU,2023/07/04,7.86,7.86,7.48,7.48,3900,29860
CHI,2023/07/04,6.12,6.12,6.12,6.12,0,0
CHIB,2023/07/04,30,30.1,29.9,30,155600,4670000
CHP,2023/07/04,1.04,1.05,1.02,1.05,1220000,1260000
CIC,2023/07/04,15.12,15.12,15.12,15.12,0,0
CIP,2023/07/04,123,123,123,123,0,0
CLI,2023/07/04,2.6,2.62,2.6,2.6,587000,1530000
CNPF,2023/07/04,25.4,26,24.65,25.6,1010000,26040000
CNVRG,2023/07/04,10.98,11,10.78,10.84,1280000,13850000
COAL,2023/07/04,0.171,0.171,0.171,0.171,0,0
COL,2023/07/04,3,3,3,3,10000,30000
COSCO,2023/07/04,5.06,5.15,5.06,5.12,742300,3800000
CPG,2023/07/04,0.365,0.365,0.36,0.365,190000,69000
CPGP,2023/07/04,101.8,101.8,101.8,101.8,0,0
