stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
2GO,2023/05/05,13.5,13.5,13.5,13.5,0,0
8990B,2023/05/05,93.05,93.05,93.05,93.05,1900,176800
8990P,2023/05/05,101.1,101.1,101.1,101.1,0,0
AAA,2023/05/05,1.61,1.61,1.61,1.61,0,0
AB,2023/05/05,6.4,6.4,6.4,6.4,1000,6400
ABA,2023/05/05,2.52,2.52,2.5,2.52,3290000,8230000
ABG,2023/05/05,2.56,2.56,2.56,2.56,0,0
ABS,2023/05/05,7.13,7.32,7.1,7.27,265900,1910000
ABSP,2023/05/05,6.67,7.15,6.58,6.9,127800,869740
AC,2023/05/05,654,654.5,642.5,650,131850,85700000
ACE,2023/05/05,1.59,1.59,1.59,1.59,0,0
ACEN,2023/05/05,6.07,6.19,6.03,6.17,19370000,119240000
ACPA,2023/05/05,500,500,500,500,0,0
ACPB1,2023/05/05,486,488.6,486,488.6,1020,498020
ACR,2023/05/05,0.76,0.79,0.76,0.79,116000,88400
AEV,2023/05/05,55.8,56.05,55.5,56,187820,10510000
AGI,2023/05/05,13.54,13.72,13.54,13.6,3470000,47220000
ALCO,2023/05/05,0.59,0.59,0.51,0.54,266000,144420
ALCPB,2023/05/05,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/05/05,100,100,100,100,0,0
ALCPD,2023/05/05,500,500,500,500,0,0
ALHI,2023/05/05,5.18,5.18,5.18,5.18,1000,5180
ALI,2023/05/05,28.5,28.65,28.15,28.25,4340000,123440000
ALLDY,2023/05/05,0.223,0.226,0.22,0.224,14120000,3120000
ALLHC,2023/05/05,2.89,2.9,2.85,2.9,1010000,2910000
ALTER,2023/05/05,1.11,1.12,1.1,1.11,2450000,2710000
ANI,2023/05/05,7.42,7.49,7.4,7.43,14000000,104250000
ANS,2023/05/05,10.86,11.1,10.86,11,92000,1010000
AP,2023/05/05,37.7,38,37.7,38,701300,26640000
APB2R,2023/05/05,485,485,485,485,2400,1160000
APC,2023/05/05,0.221,0.228,0.221,0.228,90000,20310
APL,2023/05/05,0.029,0.029,0.028,0.029,60200000,1690000
APO,2023/05/05,0.63,0.63,0.63,0.63,0,0
APVI,2023/05/05,10.6,11,10.6,11,4100,43630
APX,2023/05/05,3.17,3.24,3.07,3.07,12690000,39890000
AR,2023/05/05,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/05/05,0.93,0.93,0.91,0.91,45000,41250
AREIT,2023/05/05,34.15,34.3,34.1,34.2,297900,10190000
ASLAG,2023/05/05,1.56,1.61,1.55,1.6,165000,256550
AT,2023/05/05,4.23,4.23,4.2,4.22,125000,526270
ATI,2023/05/05,14.5,14.5,14.18,14.18,63400,903920
ATN,2023/05/05,0.39,0.395,0.39,0.395,130000,51000
ATNB,2023/05/05,0.39,0.39,0.39,0.39,20000,7800
AUB,2023/05/05,42.6,42.6,42,42.15,6700,282630
AXLM,2023/05/05,2.45,2.45,2.41,2.42,86000,208260
BALAI,2023/05/05,0.59,0.6,0.57,0.57,10220000,5890000
BC,2023/05/05,4.6,4.6,4.6,4.6,1000,4600
BCB,2023/05/05,4.5,4.56,4.5,4.56,31000,139560
BCOR,2023/05/05,6.98,7.46,6.98,7.46,2600,18200
BCP,2023/05/05,23.3,23.3,23.3,23.3,0,0
BDO,2023/05/05,141,142.5,137,137,3710000,517490000
BEL,2023/05/05,1.22,1.22,1.17,1.17,3000,3560
BH,2023/05/05,680,680,680,680,0,0
BHI,2023/05/05,0.051,0.051,0.051,0.051,0,0
BKR,2023/05/05,1.49,1.49,1.49,1.49,0,0
BLOOM,2023/05/05,10.18,10.44,10.18,10.3,7590000,78440000
BMM,2023/05/05,52,52,52,52,0,0
BNCOM,2023/05/05,7.3,7.6,7.3,7.6,23100,171350
BPI,2023/05/05,109.2,109.5,107.5,108,2670000,288190000
BRN,2023/05/05,0.73,0.77,0.73,0.77,28000,20720
BRNP,2023/05/05,101,101,101,101,550,55550
BSC,2023/05/05,0.25,0.25,0.245,0.25,480000,119000
C,2023/05/05,1.11,1.14,1.11,1.14,107000,120210
CA,2023/05/05,31,31,31,31,0,0
CAB,2023/05/05,27.8,27.8,27.8,27.8,0,0
CAT,2023/05/05,11,11,11,11,11200,123200
CDC,2023/05/05,0.73,0.75,0.73,0.75,38000,28300
CEB,2023/05/05,41.6,43.1,41.6,42.35,630900,26780000
CEBCP,2023/05/05,40.5,42,40.5,41.95,101200,4230000
CEI,2023/05/05,0.085,0.085,0.085,0.085,10000,850
CEU,2023/05/05,7.19,7.2,7.19,7.2,300,2160
CHI,2023/05/05,6.12,6.12,6.12,6.12,0,0
CHIB,2023/05/05,32.2,32.45,32.2,32.35,700900,22670000
CHP,2023/05/05,1.03,1.05,1.01,1.01,530000,542770
CIC,2023/05/05,13.68,13.68,13.66,13.66,2100,28710
CIP,2023/05/05,150,150,150,150,0,0
CLI,2023/05/05,2.55,2.59,2.55,2.58,566000,1460000
CNPF,2023/05/05,26.45,26.55,25.85,26.4,1040000,27490000
CNVRG,2023/05/05,11.2,11.78,11.2,11.7,8360000,97060000
COAL,2023/05/05,0.17,0.18,0.17,0.18,20000,3500
COL,2023/05/05,3,3.01,3,3.01,24000,72040
COSCO,2023/05/05,5.01,5.03,5,5.01,1100000,5530000
CPG,2023/05/05,0.35,0.36,0.35,0.355,310000,109050
CPGP,2023/05/05,100,100,100,100,40,4000
CPM,2023/05/05,3,3.14,3,3.14,19000,58280
CREIT,2023/05/05,2.49,2.51,2.48,2.5,1150000,2880000
CROWN,2023/05/05,1.56,1.57,1.55,1.56,212000,331000
CSB,2023/05/05,6.62,6.62,6.62,6.62,500,3310
