stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
8990B,2023/08/16,97.4,97.4,97.4,97.4,60,5840
8990P,2023/08/16,101.1,101.1,101.1,101.1,0,0
AAA,2023/08/16,1.61,1.61,1.61,1.61,0,0
AB,2023/08/16,5.77,5.77,5.77,5.77,0,0
ABA,2023/08/16,1.27,1.27,1.17,1.21,31040000,37400000
ABG,2023/08/16,3.04,3.04,3.04,3.04,0,0
ABS,2023/08/16,4.64,4.64,4.2,4.35,456000,2010000
ABSP,2023/08/16,3.7,3.7,3.35,3.35,68000,237610
AC,2023/08/16,603,603,595,599.5,255960,153080000
ACE,2023/08/16,1.78,1.78,1.78,1.78,0,0
ACEN,2023/08/16,5.13,5.28,5.07,5.28,4960000,25900000
ACENA,2023/08/16,1000,1000,1000,1000,0,0
ACENB,2023/08/16,1000,1000,1000,1000,0,0
ACPA,2023/08/16,500,500,500,500,0,0
ACPAR,2023/08/16,2494,2494,2422,2490,130,319840
ACPB1,2023/08/16,490,492,490,492,200,98200
ACR,2023/08/16,0.72,0.76,0.71,0.71,684000,485890
AEV,2023/08/16,47.4,48.05,46.8,48.05,480300,22900000
AGI,2023/08/16,12.5,12.5,12.38,12.5,155600,1940000
ALCO,2023/08/16,0.455,0.48,0.455,0.48,220000,100350
ALCPB,2023/08/16,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/08/16,101.2,101.2,101.2,101.2,0,0
ALCPD,2023/08/16,489.6,489.6,489,489,30,14680
ALHI,2023/08/16,5.5,6.29,5.02,5.02,4100,22560
ALI,2023/08/16,29,30,29,30,12740000,378780000
ALLDY,2023/08/16,0.177,0.179,0.165,0.17,13630000,2340000
ALLHC,2023/08/16,2.28,2.28,2.2,2.24,1210000,2680000
ALTER,2023/08/16,0.86,0.88,0.85,0.86,446000,382300
ANI,2023/08/16,3.75,3.93,3.75,3.85,1200000,4700000
ANS,2023/08/16,10.96,11.02,10.96,11,4800,52790
AP,2023/08/16,35.8,36.1,35.55,36.1,402200,14470000
APB2R,2023/08/16,490,490,490,490,0,0
