stock_code,quote_date,open_price,high_price,low_price,close_price,volume,value
8990B,2023/08/17,97.4,97.4,97.4,97.4,0,0
8990P,2023/08/17,101.1,101.1,101.1,101.1,0,0
AAA,2023/08/17,1.61,1.61,1.61,1.61,0,0
AB,2023/08/17,4.76,5.64,4.76,5.64,1000,5480
ABA,2023/08/17,1.21,1.3,1.2,1.25,17600000,22020000
ABG,2023/08/17,3.04,3.04,3.04,3.04,0,0
ABS,2023/08/17,4.47,4.48,4.29,4.29,39000,170390
ABSP,2023/08/17,3.4,3.4,3.16,3.18,122000,399320
AC,2023/08/17,598.5,601,593,593,302700,180530000
ACE,2023/08/17,1.78,1.78,1.78,1.78,0,0
ACEN,2023/08/17,5.25,5.3,5.15,5.26,6230000,32560000
ACENA,2023/08/17,1000,1000,1000,1000,0,0
ACENB,2023/08/17,1000,1000,1000,1000,0,0
ACPA,2023/08/17,500,500,500,500,0,0
ACPAR,2023/08/17,2462,2494,2462,2464,110,272180
ACPB1,2023/08/17,490,492,490,492,330,161960
ACR,2023/08/17,0.75,0.75,0.72,0.72,20000,14700
AEV,2023/08/17,48.05,48.1,47,47,921700,43540000
AGI,2023/08/17,12.38,12.46,12.22,12.22,832000,10220000
ALCO,2023/08/17,0.48,0.495,0.455,0.455,100000,46800
ALCPB,2023/08/17,102.3,102.3,102.3,102.3,0,0
ALCPC,2023/08/17,101.2,101.2,101.2,101.2,0,0
ALCPD,2023/08/17,489,489,489,489,0,0
ALHI,2023/08/17,7.1,7.1,6.01,6.49,2300,15210
ALI,2023/08/17,29.95,30.65,29.6,30,21320000,640950000
ALLDY,2023/08/17,0.17,0.173,0.168,0.168,4500000,763300
ALLHC,2023/08/17,2.19,2.27,2.19,2.19,1500000,3300000
ALTER,2023/08/17,0.87,0.89,0.86,0.86,644000,557420
ANI,2023/08/17,3.83,3.86,3.68,3.84,124000,474740
ANS,2023/08/17,11,11,10.84,10.84,20900,228170
AP,2023/08/17,36.1,36.1,35.6,35.6,283700,10120000
APB2R,2023/08/17,490,490,490,490,0,0
APC,2023/08/17,0.247,0.26,0.247,0.26,190000,47510
APL,2023/08/17,0.018,0.019,0.018,0.018,13300000,239800
APO,2023/08/17,0.59,0.59,0.59,0.59,0,0
APVI,2023/08/17,9.82,9.82,9.5,9.5,1400,13430
APX,2023/08/17,2.57,2.57,2.48,2.53,1850000,4690000
AR,2023/08/17,0.0046,0.0046,0.0046,0.0046,0,0
ARA,2023/08/17,0.8,0.84,0.8,0.84,26000,21000
AREIT,2023/08/17,33.95,34.15,33.8,34,342800,11680000
ASLAG,2023/08/17,1.37,1.37,1.37,1.37,52000,71240
AT,2023/08/17,3.42,3.42,3.42,3.42,11000,37620
ATI,2023/08/17,14.5,14.5,14.5,14.5,32000,464000
ATN,2023/08/17,0.38,0.38,0.38,0.38,400000,152000
ATNB,2023/08/17,0.37,0.37,0.37,0.37,0,0
AUB,2023/08/17,47.1,47.1,47.1,47.1,300,14130
AXLM,2023/08/17,2.18,2.18,2.1,2.15,140000,297360
BALAI,2023/08/17,0.5,0.52,0.5,0.52,1280000,639120
BC,2023/08/17,4.35,4.35,4.35,4.35,0,0
BCB,2023/08/17,4.45,4.45,4.45,4.45,0,0
BCOR,2023/08/17,7.04,7.49,7.04,7.49,1000,7090
BCP,2023/08/17,23.3,23.3,23.3,23.3,0,0
BDO,2023/08/17,141.1,142.8,140.5,142,2380000,337350000
BEL,2023/08/17,1.2,1.22,1.2,1.22,9000,10820
BH,2023/08/17,680,680,680,680,0,0
BHI,2023/08/17,0.064,0.067,0.063,0.067,2400000,158180
BKR,2023/08/17,1.18,1.18,1.18,1.18,160000,188800
BLOOM,2023/08/17,11.2,11.38,10.72,10.76,12240000,133840000
BMM,2023/08/17,52,52,52,52,0,0
BNCOM,2023/08/17,6,6,6,6,15000,90000
BPI,2023/08/17,112.6,114,111.4,113.4,2380000,268550000
BRN,2023/08/17,0.68,0.68,0.65,0.65,409000,270750
BRNP,2023/08/17,99.95,99.95,99.95,99.95,0,0
BSC,2023/08/17,0.201,0.202,0.198,0.201,1830000,364680
C,2023/08/17,1.02,1.08,1,1.06,282000,297620
CA,2023/08/17,38.95,39,38.95,39,3300,128690
CAB,2023/08/17,42,42,42,42,0,0
CAT,2023/08/17,9.2,9.87,9.2,9.87,1100,10790
CDC,2023/08/17,0.71,0.75,0.71,0.75,9000,6710
CEB,2023/08/17,36.5,36.5,36.2,36.2,181900,6590000
CEBCP,2023/08/17,35.85,35.85,35.2,35.2,12900,458650
CEI,2023/08/17,0.074,0.08,0.074,0.08,840000,65960
CEU,2023/08/17,8,8,8,8,0,0
CHI,2023/08/17,6.12,6.12,6.12,6.12,0,0
CHIB,2023/08/17,31.05,31.35,31,31,297200,9220000
CHP,2023/08/17,1.08,1.08,1.06,1.07,94000,100580
CIC,2023/08/17,16,16,15.2,15.9,1100,17340
CIP,2023/08/17,180,180,180,180,0,0
CLI,2023/08/17,2.62,2.62,2.59,2.59,60000,155970
